match_id,season,match_date,venue,team1,team2,innings1_runs,innings1_wickets,innings1_overs,innings2_runs,innings2_wickets,innings2_overs,result,winner,win_margin,player_of_match,top_scorer,top_scorer_runs,best_bowler,best_bowler_wickets,total_fours,total_sixes,powerplay_runs,death_overs_runs,toss_winner,toss_decision,attendance_approx
106,2016,2016-04-03,Chepauk,Rajasthan Royals,Lucknow Super Giants,183,3,20.0,233,6,20.0,Normal,Lucknow Super Giants,4 wickets,Andre Russell,Virat Kohli,56,Pat Cummins,2,39,24,62,83,Lucknow Super Giants,Bat,45881
107,2015,2015-05-13,Eden Gardens,Sunrisers Hyderabad,Delhi Capitals,253,4,20.0,216,2,20.0,Normal,Sunrisers Hyderabad,37 runs,MS Dhoni,KL Rahul,72,Suryakumar Yadav,5,23,25,67,55,Sunrisers Hyderabad,Bat,71796
108,2025,2025-03-07,PCA,Punjab Kings,Rising Pune Supergiant,252,6,20.0,303,7,20.0,Normal,Rising Pune Supergiant,3 wickets,R Ashwin,David Warner,97,Chris Gayle,3,15,15,36,50,Punjab Kings,Field,68956
109,2016,2016-04-27,Ekana,Deccan Chargers,Punjab Kings,236,3,20.0,229,9,20.0,Normal,Deccan Chargers,7 runs,Shreyas Iyer,Shubman Gill,135,Faf du Plessis,3,24,22,50,71,Deccan Chargers,Field,37296
110,2024,2024-05-11,Ekana,Delhi Capitals,Lucknow Super Giants,111,7,20.0,105,4,20.0,Normal,Delhi Capitals,6 runs,Rinku Singh,Rohit Sharma,67,Pat Cummins,6,32,17,75,67,Lucknow Super Giants,Field,62212
111,2015,2015-05-12,Ekana,Rajasthan Royals,Kochi Tuskers Kerala,259,2,20.0,253,10,20.0,Normal,Rajasthan Royals,6 runs,Shreyas Iyer,Shubman Gill,137,MS Dhoni,2,24,20,72,49,Rajasthan Royals,Field,23732
112,2022,2022-03-31,Rajiv Gandhi,Royal Challengers Bangalore,Deccan Chargers,214,7,20.0,223,3,20.0,Normal,Deccan Chargers,7 wickets,Virat Kohli,Sanju Samson,103,Pat Cummins,5,35,10,44,42,Deccan Chargers,Field,55393
113,2011,2011-03-06,Wankhede Stadium,Kochi Tuskers Kerala,Rajasthan Royals,227,3,20.0,258,6,20.0,Normal,Rajasthan Royals,4 wickets,Hardik Pandya,Jasprit Bumrah,127,R Ashwin,6,32,18,51,94,Rajasthan Royals,Field,17075
114,2011,2011-05-18,Chinnaswamy,Pune Warriors India,Royal Challengers Bangalore,247,4,20.0,215,2,20.0,Normal,Pune Warriors India,32 runs,Sanju Samson,Faf du Plessis,141,MS Dhoni,3,33,12,58,85,Pune Warriors India,Bat,48749
115,2017,2017-04-05,DY Patil,Chennai Super Kings,Rajasthan Royals,239,10,20.0,270,8,20.0,Normal,Rajasthan Royals,2 wickets,Sanju Samson,Rinku Singh,54,Faf du Plessis,3,39,7,36,84,Rajasthan Royals,Field,65160
116,2010,2010-05-05,Wankhede Stadium,Lucknow Super Giants,Gujarat Titans,153,7,20.0,121,10,20.0,Normal,Lucknow Super Giants,32 runs,R Ashwin,Pat Cummins,91,Rinku Singh,2,30,6,33,52,Lucknow Super Giants,Field,19322
117,2016,2016-03-08,Arun Jaitley,Rising Pune Supergiant,Kolkata Knight Riders,217,5,20.0,175,8,20.0,Normal,Rising Pune Supergiant,42 runs,Shreyas Iyer,Rohit Sharma,119,Pat Cummins,4,30,20,43,65,Kolkata Knight Riders,Field,59598
118,2015,2015-03-25,Rajiv Gandhi,Chennai Super Kings,Rajasthan Royals,131,3,20.0,162,7,20.0,Normal,Rajasthan Royals,3 wickets,Rinku Singh,MS Dhoni,115,Rashid Khan,4,28,13,55,86,Rajasthan Royals,Field,62093
119,2015,2015-03-14,Narendra Modi,Lucknow Super Giants,Sunrisers Hyderabad,108,9,20.0,154,5,20.0,Normal,Sunrisers Hyderabad,5 wickets,Rinku Singh,R Ashwin,107,Rohit Sharma,6,28,13,60,61,Sunrisers Hyderabad,Field,34120
120,2011,2011-05-24,PCA,Chennai Super Kings,Royal Challengers Bangalore,134,3,20.0,130,10,20.0,Normal,Chennai Super Kings,4 runs,Jasprit Bumrah,Pat Cummins,46,Rashid Khan,2,25,18,72,99,Chennai Super Kings,Field,53931
121,2023,2023-05-25,Chepauk,Kolkata Knight Riders,Gujarat Titans,173,10,20.0,201,7,20.0,Normal,Gujarat Titans,3 wickets,Andre Russell,Chris Gayle,59,Jos Buttler,4,25,16,57,78,Kolkata Knight Riders,Bat,25189
122,2012,2012-03-19,PCA,Delhi Capitals,Rising Pune Supergiant,254,2,20.0,272,6,20.0,Normal,Rising Pune Supergiant,4 wickets,Rohit Sharma,Suryakumar Yadav,34,Suryakumar Yadav,4,40,12,65,57,Delhi Capitals,Field,31487
123,2024,2024-05-14,Eden Gardens,Kochi Tuskers Kerala,Kolkata Knight Riders,125,7,20.0,95,6,20.0,Normal,Kochi Tuskers Kerala,30 runs,KL Rahul,Andre Russell,49,Jasprit Bumrah,5,15,23,55,93,Kolkata Knight Riders,Field,56237
124,2013,2013-03-16,Chinnaswamy,Sunrisers Hyderabad,Royal Challengers Bangalore,227,7,20.0,205,10,20.0,Normal,Sunrisers Hyderabad,22 runs,AB de Villiers,Virat Kohli,46,Jasprit Bumrah,6,35,14,60,83,Sunrisers Hyderabad,Field,46545
125,2014,2014-03-11,Rajiv Gandhi,Royal Challengers Bangalore,Punjab Kings,201,10,20.0,167,5,20.0,Normal,Royal Challengers Bangalore,34 runs,Pat Cummins,Shreyas Iyer,100,Pat Cummins,3,23,21,40,53,Punjab Kings,Field,30952
126,2011,2011-04-02,Rajiv Gandhi,Sunrisers Hyderabad,Deccan Chargers,104,7,20.0,150,8,20.0,Normal,Deccan Chargers,2 wickets,Shubman Gill,Andre Russell,118,Virat Kohli,4,27,11,80,71,Sunrisers Hyderabad,Field,67048
127,2011,2011-05-07,DY Patil,Sunrisers Hyderabad,Lucknow Super Giants,212,4,20.0,233,9,20.0,Normal,Lucknow Super Giants,1 wickets,Rohit Sharma,Sanju Samson,77,Virat Kohli,2,17,7,49,43,Sunrisers Hyderabad,Bat,24778
128,2021,2021-04-23,Arun Jaitley,Mumbai Indians,Gujarat Titans,259,5,20.0,270,5,20.0,Normal,Gujarat Titans,5 wickets,Jos Buttler,Virat Kohli,126,Rinku Singh,3,16,12,77,86,Gujarat Titans,Field,31383
129,2015,2015-05-18,Ekana,Pune Warriors India,Punjab Kings,193,4,20.0,138,6,20.0,Normal,Pune Warriors India,55 runs,Shubman Gill,Faf du Plessis,128,Chris Gayle,2,33,23,50,49,Pune Warriors India,Field,18203
130,2023,2023-04-15,Sawai Mansingh,Pune Warriors India,Rising Pune Supergiant,257,5,20.0,224,3,20.0,Normal,Pune Warriors India,33 runs,David Warner,Chris Gayle,51,Rashid Khan,6,17,13,79,56,Rising Pune Supergiant,Bat,50122
131,2018,2018-03-16,Ekana,Sunrisers Hyderabad,Kochi Tuskers Kerala,213,5,20.0,268,10,20.0,Normal,Kochi Tuskers Kerala,0 wickets,Chris Gayle,KL Rahul,133,KL Rahul,2,29,6,68,49,Sunrisers Hyderabad,Field,21436
132,2009,2009-03-19,Wankhede Stadium,Sunrisers Hyderabad,Delhi Capitals,166,2,20.0,180,6,20.0,Normal,Delhi Capitals,4 wickets,AB de Villiers,Suryakumar Yadav,57,Rashid Khan,2,34,11,47,85,Delhi Capitals,Field,34617
133,2019,2019-03-10,Ekana,Deccan Chargers,Pune Warriors India,186,5,20.0,240,8,20.0,Normal,Pune Warriors India,2 wickets,Andre Russell,Jos Buttler,112,Shubman Gill,6,18,16,50,87,Pune Warriors India,Field,68469
134,2017,2017-03-03,Wankhede Stadium,Mumbai Indians,Deccan Chargers,181,10,20.0,203,3,20.0,Normal,Deccan Chargers,7 wickets,Faf du Plessis,Andre Russell,57,Jos Buttler,4,30,19,70,84,Mumbai Indians,Field,33732
135,2014,2014-04-11,Eden Gardens,Rajasthan Royals,Mumbai Indians,210,2,20.0,247,4,20.0,Normal,Mumbai Indians,6 wickets,MS Dhoni,Rohit Sharma,113,Jasprit Bumrah,6,39,8,56,78,Rajasthan Royals,Field,71157
136,2012,2012-04-17,Sawai Mansingh,Deccan Chargers,Delhi Capitals,196,2,20.0,150,5,20.0,Normal,Deccan Chargers,46 runs,KL Rahul,Rinku Singh,69,R Ashwin,3,16,24,38,65,Delhi Capitals,Field,39513
137,2012,2012-03-10,Chepauk,Kolkata Knight Riders,Punjab Kings,171,4,20.0,200,5,20.0,Normal,Punjab Kings,5 wickets,Virat Kohli,Virat Kohli,63,Suryakumar Yadav,6,35,9,67,65,Kolkata Knight Riders,Bat,78809
138,2009,2009-03-20,Eden Gardens,Gujarat Titans,Rising Pune Supergiant,203,7,20.0,172,9,20.0,Normal,Gujarat Titans,31 runs,Virat Kohli,R Ashwin,148,David Warner,2,18,25,36,77,Rising Pune Supergiant,Bat,74594
139,2013,2013-05-16,Sawai Mansingh,Chennai Super Kings,Kolkata Knight Riders,203,10,20.0,232,3,20.0,Normal,Kolkata Knight Riders,7 wickets,Sanju Samson,KL Rahul,108,Suryakumar Yadav,6,37,18,31,56,Kolkata Knight Riders,Bat,49758
140,2015,2015-03-29,Wankhede Stadium,Deccan Chargers,Gujarat Titans,145,5,20.0,100,7,20.0,Normal,Deccan Chargers,45 runs,Virat Kohli,Sanju Samson,149,Shreyas Iyer,5,40,14,59,57,Gujarat Titans,Field,56410
141,2010,2010-04-19,Eden Gardens,Pune Warriors India,Deccan Chargers,165,3,20.0,135,8,20.0,Normal,Pune Warriors India,30 runs,Chris Gayle,David Warner,73,KL Rahul,4,29,12,66,51,Pune Warriors India,Bat,47434
142,2023,2023-05-21,DY Patil,Kolkata Knight Riders,Royal Challengers Bangalore,235,7,20.0,213,4,20.0,Normal,Kolkata Knight Riders,22 runs,Faf du Plessis,Rashid Khan,64,Pat Cummins,2,37,19,80,56,Kolkata Knight Riders,Field,72045
143,2013,2013-04-10,Chepauk,Delhi Capitals,Lucknow Super Giants,158,7,20.0,198,7,20.0,Normal,Lucknow Super Giants,3 wickets,Jos Buttler,MS Dhoni,77,Rashid Khan,5,26,20,77,40,Delhi Capitals,Bat,68005
144,2010,2010-05-27,PCA,Kochi Tuskers Kerala,Royal Challengers Bangalore,180,2,20.0,134,7,20.0,Normal,Kochi Tuskers Kerala,46 runs,Chris Gayle,Virat Kohli,49,Shreyas Iyer,3,35,21,70,99,Kochi Tuskers Kerala,Bat,47220
145,2008,2008-04-28,Arun Jaitley,Pune Warriors India,Delhi Capitals,158,4,20.0,124,6,20.0,Normal,Pune Warriors India,34 runs,Jasprit Bumrah,Chris Gayle,111,Sanju Samson,5,30,23,48,97,Delhi Capitals,Bat,78190
146,2012,2012-05-03,Wankhede Stadium,Kolkata Knight Riders,Rising Pune Supergiant,198,9,20.0,190,2,20.0,Normal,Kolkata Knight Riders,8 runs,Shreyas Iyer,Suryakumar Yadav,71,Suryakumar Yadav,4,28,18,60,61,Kolkata Knight Riders,Bat,46931
147,2013,2013-04-18,Wankhede Stadium,Gujarat Titans,Kolkata Knight Riders,140,8,20.0,118,4,20.0,Normal,Gujarat Titans,22 runs,Faf du Plessis,R Ashwin,68,Rohit Sharma,3,32,13,63,58,Kolkata Knight Riders,Field,45639
148,2015,2015-05-09,Sawai Mansingh,Delhi Capitals,Pune Warriors India,219,8,20.0,210,8,20.0,Normal,Delhi Capitals,9 runs,Andre Russell,David Warner,127,Sanju Samson,6,28,17,46,80,Delhi Capitals,Bat,25305
149,2013,2013-03-31,Rajiv Gandhi,Lucknow Super Giants,Mumbai Indians,107,8,20.0,64,7,20.0,Normal,Lucknow Super Giants,43 runs,Chris Gayle,Rashid Khan,98,MS Dhoni,5,30,13,71,57,Lucknow Super Giants,Field,78201
150,2009,2009-05-04,Narendra Modi,Lucknow Super Giants,Gujarat Titans,120,7,20.0,147,2,20.0,Normal,Gujarat Titans,8 wickets,Pat Cummins,Sanju Samson,150,Jos Buttler,3,39,9,72,80,Lucknow Super Giants,Field,75489
151,2021,2021-03-15,Arun Jaitley,Royal Challengers Bangalore,Rising Pune Supergiant,237,7,20.0,249,3,20.0,Normal,Rising Pune Supergiant,7 wickets,Jasprit Bumrah,Pat Cummins,114,David Warner,3,30,9,32,76,Royal Challengers Bangalore,Field,35299
152,2016,2016-04-27,Chinnaswamy,Gujarat Titans,Sunrisers Hyderabad,259,7,20.0,292,7,20.0,Normal,Sunrisers Hyderabad,3 wickets,AB de Villiers,Rashid Khan,86,KL Rahul,5,19,8,35,63,Gujarat Titans,Bat,33516
153,2020,2020-04-09,Eden Gardens,Deccan Chargers,Kochi Tuskers Kerala,247,10,20.0,220,7,20.0,Normal,Deccan Chargers,27 runs,Hardik Pandya,Suryakumar Yadav,126,Jasprit Bumrah,3,28,15,75,97,Deccan Chargers,Field,37519
154,2014,2014-05-17,Eden Gardens,Lucknow Super Giants,Mumbai Indians,164,8,20.0,214,7,20.0,Normal,Mumbai Indians,3 wickets,Chris Gayle,Shubman Gill,70,Shubman Gill,4,34,11,35,52,Mumbai Indians,Bat,76926
155,2009,2009-04-06,Chepauk,Lucknow Super Giants,Kochi Tuskers Kerala,149,7,20.0,167,5,20.0,Normal,Kochi Tuskers Kerala,5 wickets,Virat Kohli,Sanju Samson,150,Pat Cummins,4,28,17,65,42,Lucknow Super Giants,Field,74454
156,2016,2016-04-14,Arun Jaitley,Chennai Super Kings,Lucknow Super Giants,114,10,20.0,57,7,20.0,Normal,Chennai Super Kings,57 runs,Pat Cummins,R Ashwin,77,Shubman Gill,3,23,23,73,44,Chennai Super Kings,Field,48108
157,2011,2011-03-21,Wankhede Stadium,Rising Pune Supergiant,Rajasthan Royals,195,4,20.0,207,6,20.0,Normal,Rajasthan Royals,4 wickets,Shubman Gill,Pat Cummins,100,MS Dhoni,2,33,14,68,63,Rising Pune Supergiant,Bat,54809
158,2017,2017-03-22,Narendra Modi,Mumbai Indians,Pune Warriors India,177,2,20.0,178,5,20.0,Normal,Pune Warriors India,5 wickets,Faf du Plessis,KL Rahul,114,Virat Kohli,5,15,22,61,80,Pune Warriors India,Field,22792
159,2012,2012-04-09,Ekana,Gujarat Titans,Lucknow Super Giants,209,2,20.0,185,2,20.0,Normal,Gujarat Titans,24 runs,Jos Buttler,Sanju Samson,137,AB de Villiers,5,27,12,56,88,Lucknow Super Giants,Field,53491
160,2015,2015-05-05,DY Patil,Sunrisers Hyderabad,Pune Warriors India,100,4,20.0,80,7,20.0,Normal,Sunrisers Hyderabad,20 runs,Shreyas Iyer,Shreyas Iyer,78,KL Rahul,6,33,14,30,46,Pune Warriors India,Field,18341
161,2009,2009-05-25,Arun Jaitley,Royal Challengers Bangalore,Lucknow Super Giants,223,10,20.0,182,10,20.0,Normal,Royal Challengers Bangalore,41 runs,Suryakumar Yadav,Rashid Khan,65,Chris Gayle,4,40,8,57,49,Royal Challengers Bangalore,Bat,48873
162,2014,2014-03-26,Chinnaswamy,Chennai Super Kings,Kolkata Knight Riders,155,4,20.0,104,2,20.0,Normal,Chennai Super Kings,51 runs,Jos Buttler,Faf du Plessis,36,Jos Buttler,5,34,8,73,68,Chennai Super Kings,Bat,75109
163,2020,2020-04-01,Chepauk,Chennai Super Kings,Kochi Tuskers Kerala,165,4,20.0,191,3,20.0,Normal,Kochi Tuskers Kerala,7 wickets,MS Dhoni,Hardik Pandya,98,Faf du Plessis,5,40,14,31,83,Chennai Super Kings,Field,78230
164,2015,2015-03-17,Chinnaswamy,Sunrisers Hyderabad,Rajasthan Royals,112,7,20.0,63,5,20.0,Normal,Sunrisers Hyderabad,49 runs,R Ashwin,Jasprit Bumrah,63,Shubman Gill,6,17,5,55,86,Rajasthan Royals,Field,17932
165,2022,2022-04-19,DY Patil,Lucknow Super Giants,Delhi Capitals,258,5,20.0,294,10,20.0,Normal,Delhi Capitals,0 wickets,Rashid Khan,Faf du Plessis,136,David Warner,5,29,19,63,57,Delhi Capitals,Bat,25816
166,2010,2010-04-02,Rajiv Gandhi,Kolkata Knight Riders,Punjab Kings,155,6,20.0,208,5,20.0,Normal,Punjab Kings,5 wickets,AB de Villiers,David Warner,90,Pat Cummins,6,31,12,45,55,Kolkata Knight Riders,Field,36238
167,2022,2022-03-03,Wankhede Stadium,Deccan Chargers,Rajasthan Royals,130,2,20.0,190,10,20.0,Normal,Rajasthan Royals,0 wickets,Shubman Gill,R Ashwin,134,Suryakumar Yadav,3,25,13,78,96,Rajasthan Royals,Bat,61413
168,2008,2008-05-24,Arun Jaitley,Sunrisers Hyderabad,Pune Warriors India,134,3,20.0,155,9,20.0,Normal,Pune Warriors India,1 wickets,Jos Buttler,Jos Buttler,132,Virat Kohli,2,34,17,30,53,Pune Warriors India,Bat,41689
169,2019,2019-05-09,Chepauk,Kochi Tuskers Kerala,Royal Challengers Bangalore,215,5,20.0,258,8,20.0,Normal,Royal Challengers Bangalore,2 wickets,Andre Russell,Rinku Singh,115,KL Rahul,5,16,6,67,64,Kochi Tuskers Kerala,Field,73371
170,2014,2014-05-25,Rajiv Gandhi,Kochi Tuskers Kerala,Mumbai Indians,224,10,20.0,282,8,20.0,Normal,Mumbai Indians,2 wickets,MS Dhoni,AB de Villiers,109,Shreyas Iyer,2,20,12,44,95,Kochi Tuskers Kerala,Bat,38957
171,2021,2021-04-25,DY Patil,Rajasthan Royals,Mumbai Indians,129,4,20.0,118,7,20.0,Normal,Rajasthan Royals,11 runs,Shreyas Iyer,Chris Gayle,142,Rashid Khan,5,40,20,80,85,Mumbai Indians,Bat,49753
172,2023,2023-04-01,Wankhede Stadium,Punjab Kings,Royal Challengers Bangalore,101,5,20.0,151,4,20.0,Normal,Royal Challengers Bangalore,6 wickets,Rohit Sharma,AB de Villiers,117,KL Rahul,2,15,20,64,44,Royal Challengers Bangalore,Bat,44918
173,2023,2023-03-30,DY Patil,Rajasthan Royals,Chennai Super Kings,138,10,20.0,133,2,20.0,Normal,Rajasthan Royals,5 runs,Jasprit Bumrah,Suryakumar Yadav,83,Rashid Khan,3,25,18,45,87,Chennai Super Kings,Field,75050
174,2009,2009-03-10,Sawai Mansingh,Lucknow Super Giants,Pune Warriors India,157,2,20.0,204,5,20.0,Normal,Pune Warriors India,5 wickets,Andre Russell,MS Dhoni,106,Jos Buttler,6,25,18,71,71,Lucknow Super Giants,Field,45996
175,2020,2020-03-07,Ekana,Kolkata Knight Riders,Rising Pune Supergiant,111,3,20.0,61,2,20.0,Normal,Kolkata Knight Riders,50 runs,Jasprit Bumrah,Virat Kohli,74,Shreyas Iyer,6,30,21,57,84,Kolkata Knight Riders,Field,40424
176,2020,2020-05-22,Chepauk,Kochi Tuskers Kerala,Punjab Kings,259,8,20.0,238,9,20.0,Normal,Kochi Tuskers Kerala,21 runs,Rashid Khan,Hardik Pandya,51,Faf du Plessis,2,16,18,55,51,Kochi Tuskers Kerala,Bat,15196
177,2015,2015-03-28,PCA,Delhi Capitals,Chennai Super Kings,157,10,20.0,217,9,20.0,Normal,Chennai Super Kings,1 wickets,David Warner,Virat Kohli,135,Virat Kohli,2,35,8,34,85,Chennai Super Kings,Field,20890
178,2023,2023-04-04,Wankhede Stadium,Lucknow Super Giants,Pune Warriors India,120,3,20.0,125,7,20.0,Normal,Pune Warriors India,3 wickets,Sanju Samson,Shreyas Iyer,149,Pat Cummins,2,32,5,40,48,Lucknow Super Giants,Field,47833
179,2011,2011-04-15,Chinnaswamy,Rajasthan Royals,Mumbai Indians,117,8,20.0,78,3,20.0,Normal,Rajasthan Royals,39 runs,Rinku Singh,Shreyas Iyer,69,Shubman Gill,5,35,17,31,81,Rajasthan Royals,Field,19474
180,2024,2024-03-05,Chinnaswamy,Chennai Super Kings,Deccan Chargers,235,2,20.0,228,5,20.0,Normal,Chennai Super Kings,7 runs,David Warner,Rohit Sharma,65,Jasprit Bumrah,5,24,7,34,56,Deccan Chargers,Bat,69412
181,2011,2011-05-12,Chepauk,Delhi Capitals,Kochi Tuskers Kerala,240,2,20.0,247,2,20.0,Normal,Kochi Tuskers Kerala,8 wickets,MS Dhoni,Hardik Pandya,92,Shreyas Iyer,4,15,21,68,78,Kochi Tuskers Kerala,Bat,53786
182,2014,2014-05-11,Sawai Mansingh,Sunrisers Hyderabad,Pune Warriors India,202,8,20.0,203,7,20.0,Normal,Pune Warriors India,3 wickets,David Warner,Hardik Pandya,145,Chris Gayle,5,23,25,54,54,Pune Warriors India,Field,35325
183,2021,2021-04-21,DY Patil,Royal Challengers Bangalore,Deccan Chargers,123,6,20.0,169,4,20.0,Normal,Deccan Chargers,6 wickets,Chris Gayle,Shreyas Iyer,105,Andre Russell,2,38,19,56,43,Royal Challengers Bangalore,Field,65704
184,2024,2024-03-20,DY Patil,Sunrisers Hyderabad,Mumbai Indians,142,6,20.0,125,8,20.0,Normal,Sunrisers Hyderabad,17 runs,Shubman Gill,Sanju Samson,91,Pat Cummins,3,31,24,40,48,Sunrisers Hyderabad,Bat,36049
185,2014,2014-03-19,Chepauk,Kochi Tuskers Kerala,Royal Challengers Bangalore,198,6,20.0,162,9,20.0,Normal,Kochi Tuskers Kerala,36 runs,KL Rahul,Jos Buttler,32,Sanju Samson,2,36,9,68,62,Kochi Tuskers Kerala,Bat,60322
186,2013,2013-04-14,DY Patil,Deccan Chargers,Mumbai Indians,146,9,20.0,95,5,20.0,Normal,Deccan Chargers,51 runs,Rinku Singh,Jasprit Bumrah,118,Jasprit Bumrah,3,37,10,40,85,Mumbai Indians,Bat,61767
187,2013,2013-04-22,Rajiv Gandhi,Rising Pune Supergiant,Delhi Capitals,151,3,20.0,178,10,20.0,Normal,Delhi Capitals,0 wickets,Sanju Samson,AB de Villiers,47,Rashid Khan,3,36,24,61,87,Rising Pune Supergiant,Bat,71701
188,2014,2014-04-19,Sawai Mansingh,Mumbai Indians,Punjab Kings,203,8,20.0,183,6,20.0,Normal,Mumbai Indians,20 runs,Hardik Pandya,Shubman Gill,116,AB de Villiers,6,23,24,40,43,Mumbai Indians,Bat,16867
189,2011,2011-03-15,Chepauk,Pune Warriors India,Delhi Capitals,163,2,20.0,207,5,20.0,Normal,Delhi Capitals,5 wickets,Faf du Plessis,Chris Gayle,102,David Warner,4,31,21,74,90,Pune Warriors India,Field,70499
190,2015,2015-04-02,Wankhede Stadium,Rajasthan Royals,Lucknow Super Giants,249,6,20.0,308,2,20.0,Normal,Lucknow Super Giants,8 wickets,Andre Russell,Shreyas Iyer,133,Shreyas Iyer,4,16,16,52,70,Rajasthan Royals,Field,15156
191,2022,2022-04-21,Sawai Mansingh,Deccan Chargers,Punjab Kings,180,10,20.0,227,2,20.0,Normal,Punjab Kings,8 wickets,Jasprit Bumrah,Virat Kohli,79,Jos Buttler,3,25,22,41,61,Punjab Kings,Field,26406
192,2017,2017-04-24,PCA,Chennai Super Kings,Deccan Chargers,131,5,20.0,188,6,20.0,Normal,Deccan Chargers,4 wickets,R Ashwin,Rohit Sharma,43,Rinku Singh,4,30,9,32,54,Deccan Chargers,Field,68782
193,2025,2025-05-19,Chinnaswamy,Kochi Tuskers Kerala,Gujarat Titans,241,7,20.0,280,6,20.0,Normal,Gujarat Titans,4 wickets,Virat Kohli,Rinku Singh,122,Hardik Pandya,6,38,10,47,49,Kochi Tuskers Kerala,Bat,29294
194,2009,2009-04-02,DY Patil,Sunrisers Hyderabad,Kolkata Knight Riders,147,10,20.0,142,2,20.0,Normal,Sunrisers Hyderabad,5 runs,Hardik Pandya,David Warner,121,KL Rahul,4,20,16,70,98,Sunrisers Hyderabad,Field,54676
195,2013,2013-03-20,Arun Jaitley,Pune Warriors India,Kochi Tuskers Kerala,108,2,20.0,138,5,20.0,Normal,Kochi Tuskers Kerala,5 wickets,Rashid Khan,Jos Buttler,85,Chris Gayle,6,37,8,40,55,Kochi Tuskers Kerala,Bat,27522
196,2009,2009-05-28,Rajiv Gandhi,Kolkata Knight Riders,Kochi Tuskers Kerala,114,7,20.0,97,3,20.0,Normal,Kolkata Knight Riders,17 runs,KL Rahul,Virat Kohli,113,David Warner,3,19,10,57,78,Kolkata Knight Riders,Field,57275
197,2023,2023-04-16,Chinnaswamy,Gujarat Titans,Rising Pune Supergiant,223,9,20.0,262,2,20.0,Normal,Rising Pune Supergiant,8 wickets,Shubman Gill,Rinku Singh,62,Hardik Pandya,6,25,14,64,91,Gujarat Titans,Bat,40070
198,2009,2009-04-09,PCA,Kochi Tuskers Kerala,Royal Challengers Bangalore,250,5,20.0,297,8,20.0,Normal,Royal Challengers Bangalore,2 wickets,Andre Russell,Chris Gayle,112,AB de Villiers,5,27,18,32,47,Royal Challengers Bangalore,Field,65758
199,2017,2017-05-19,Eden Gardens,Chennai Super Kings,Gujarat Titans,127,4,20.0,91,5,20.0,Normal,Chennai Super Kings,36 runs,Shubman Gill,David Warner,109,Rashid Khan,3,17,12,42,44,Gujarat Titans,Field,76374
200,2016,2016-03-11,Sawai Mansingh,Sunrisers Hyderabad,Deccan Chargers,245,7,20.0,260,4,20.0,Normal,Deccan Chargers,6 wickets,Virat Kohli,Shubman Gill,34,Jasprit Bumrah,5,38,8,75,82,Deccan Chargers,Field,57480
201,2008,2008-04-28,Chinnaswamy,Gujarat Titans,Kolkata Knight Riders,145,4,20.0,111,5,20.0,Normal,Gujarat Titans,34 runs,Pat Cummins,Rohit Sharma,137,Hardik Pandya,6,35,17,53,73,Kolkata Knight Riders,Field,38357
202,2023,2023-03-11,Wankhede Stadium,Royal Challengers Bangalore,Lucknow Super Giants,248,9,20.0,224,6,20.0,Normal,Royal Challengers Bangalore,24 runs,Jasprit Bumrah,R Ashwin,63,Chris Gayle,5,39,5,60,70,Royal Challengers Bangalore,Bat,34852
203,2012,2012-05-02,Eden Gardens,Gujarat Titans,Rising Pune Supergiant,254,3,20.0,294,5,20.0,Normal,Rising Pune Supergiant,5 wickets,KL Rahul,Jasprit Bumrah,92,Pat Cummins,2,16,8,38,95,Rising Pune Supergiant,Bat,23719
204,2016,2016-03-29,Wankhede Stadium,Kochi Tuskers Kerala,Mumbai Indians,200,2,20.0,163,8,20.0,Normal,Kochi Tuskers Kerala,37 runs,Jos Buttler,AB de Villiers,54,Rinku Singh,5,23,21,74,58,Kochi Tuskers Kerala,Field,30032
205,2018,2018-05-01,Wankhede Stadium,Kolkata Knight Riders,Kochi Tuskers Kerala,258,7,20.0,233,6,20.0,Normal,Kolkata Knight Riders,25 runs,Sanju Samson,Jos Buttler,43,Shreyas Iyer,3,30,22,34,94,Kochi Tuskers Kerala,Field,53185
206,2024,2024-04-16,Chepauk,Deccan Chargers,Lucknow Super Giants,110,4,20.0,167,2,20.0,Normal,Lucknow Super Giants,8 wickets,Faf du Plessis,Shreyas Iyer,136,Shreyas Iyer,4,36,18,30,57,Deccan Chargers,Field,24536
207,2013,2013-05-01,PCA,Deccan Chargers,Pune Warriors India,140,6,20.0,140,4,20.0,Normal,Deccan Chargers,Super Over,AB de Villiers,KL Rahul,74,AB de Villiers,3,35,15,46,96,Deccan Chargers,Bat,36861
208,2014,2014-05-06,Wankhede Stadium,Rising Pune Supergiant,Punjab Kings,111,6,20.0,121,7,20.0,Normal,Punjab Kings,3 wickets,AB de Villiers,KL Rahul,84,Suryakumar Yadav,5,38,19,68,45,Rising Pune Supergiant,Bat,67564
209,2010,2010-05-12,Ekana,Rajasthan Royals,Chennai Super Kings,215,8,20.0,234,3,20.0,Normal,Chennai Super Kings,7 wickets,Chris Gayle,Rashid Khan,92,Rohit Sharma,6,32,13,52,70,Chennai Super Kings,Bat,51349
210,2022,2022-05-01,DY Patil,Rising Pune Supergiant,Sunrisers Hyderabad,168,5,20.0,208,3,20.0,Normal,Sunrisers Hyderabad,7 wickets,Suryakumar Yadav,Rashid Khan,109,Virat Kohli,6,38,13,57,45,Sunrisers Hyderabad,Bat,63998
