accident_id,accident_date,accident_time,day_of_week,weather_condition,road_type,speed_limit,road_surface,light_condition,number_of_vehicles,number_of_casualties,severity,latitude,longitude,location_district,location_city,accident_reason,police_region
159,2024-03-19,11:05,Fri,Hail,One Way Street,44,Dry,Darkness - Lights Lit,5,0,Slight,54.2501,0.8855,West Rodney District,Tiffanybury,Drunk Driving,South Region
160,2024-01-21,19:11,Sat,Rain,B-Road,60,Flood,Twilight,3,2,Slight,55.8762,-0.999,West Davidhaven District,Thompsonland,Unknown,North Region
161,2024-01-31,20:54,Thu,Windy,Dual Carriageway,66,Flood,Darkness - No Lighting,2,5,Slight,50.5377,-0.9405,Patriciastad District,South Ricky,Pedestrian Error,Metropolitan
162,2023-07-24,14:30,Thu,Fine,B-Road,38,Flood,Darkness - Lights Lit,4,2,Serious,51.3424,-2.1141,East Christina District,Jacquelinefort,Unknown,East Region
163,2023-05-03,22:11,Thu,Windy,Dual Carriageway,39,Snow,Darkness - Lighting Unknown,2,5,Slight,55.2533,-1.8079,New Kimberly District,East Kaitlyn,Pedestrian Error,South Region
164,2025-01-22,09:30,Tue,Windy,Junction,32,Mud,Darkness - Lights Lit,3,0,Slight,50.3541,1.198,South Kurtfurt District,Newtontown,Pedestrian Error,Metropolitan
165,2024-10-20,17:47,Wed,Snow,B-Road,36,Dry,Darkness - No Lighting,4,3,Serious,53.625,-1.8637,Taylorton District,Port Jessicaberg,Unknown,Metropolitan
166,2023-01-23,01:46,Sat,Hail,Motorway,25,Wet,Darkness - Lights Lit,3,4,Serious,51.4578,-1.2699,Nguyenland District,Jodyville,Vehicle Fault,North Region
167,2025-03-19,21:31,Fri,Rain,Roundabout,47,Dry,Darkness - Lighting Unknown,1,5,Slight,50.9775,-3.9982,Bishopfort District,Port Sarah,Weather Conditions,North Region
168,2023-10-03,18:08,Sun,Snow,Dual Carriageway,21,Flood,Darkness - No Lighting,3,4,Fatal,57.8942,0.3633,South Donaldton District,North Katrina,Weather Conditions,North Region
169,2025-01-20,15:16,Thu,Hail,B-Road,29,Snow,Twilight,4,2,Slight,54.3142,1.4453,Theresafort District,West Kevin,Pedestrian Error,Metropolitan
170,2023-07-10,15:25,Tue,Windy,A-Road,31,Mud,Daylight,3,5,Serious,57.5644,-2.6829,South Reneetown District,East Melindaburgh,Vehicle Fault,East Region
171,2024-01-05,23:59,Fri,Snow,A-Road,70,Mud,Darkness - Lighting Unknown,1,1,Slight,52.1044,1.0975,Jamesfort District,Angelamouth,Distracted Driving,South Region
172,2025-05-11,21:54,Tue,Snow,Roundabout,42,Flood,Twilight,1,6,Serious,50.5886,-2.5826,West Charleston District,South Monicaside,Vehicle Fault,North Region
173,2024-06-08,02:15,Sat,Unknown,Motorway,64,Ice,Daylight,1,5,Slight,50.7633,-4.0135,North Brianberg District,New Susanborough,Speeding,Metropolitan
174,2024-07-20,07:55,Thu,Fine,One Way Street,46,Wet,Darkness - No Lighting,5,6,Serious,55.1941,1.7606,Cartershire District,Kaylaborough,Drunk Driving,Metropolitan
175,2024-11-01,02:17,Mon,Unknown,Junction,31,Wet,Darkness - Lighting Unknown,2,6,Slight,50.9205,-0.9172,Emilyton District,Tonystad,Speeding,North Region
176,2023-07-24,21:30,Mon,Rain,Roundabout,65,Snow,Twilight,2,4,Serious,54.6392,-3.2513,Paulview District,Evansmouth,Weather Conditions,East Region
177,2023-12-27,21:37,Tue,Windy,One Way Street,55,Wet,Darkness - No Lighting,4,3,Slight,56.3633,1.4431,Popebury District,Ramirezport,Distracted Driving,West Region
178,2024-06-25,18:00,Thu,Fog,B-Road,33,Dry,Darkness - Lights Lit,3,1,Slight,56.0105,-0.9251,Oliviaton District,South Richard,Driver Error,North Region
179,2024-06-19,22:39,Sat,Rain,B-Road,29,Wet,Darkness - Lighting Unknown,2,0,Serious,50.7859,1.8507,Port Davidtown District,East Carolside,Road Condition,West Region
180,2025-01-28,17:37,Sun,Fine,Motorway,65,Mud,Darkness - No Lighting,4,4,Slight,55.2483,1.2693,Williamsmouth District,Lake Matthewberg,Vehicle Fault,Metropolitan
181,2024-05-19,14:44,Wed,Unknown,Junction,38,Ice,Darkness - Lighting Unknown,2,3,Slight,53.7968,-3.6665,North Ashleyborough District,Whiteshire,Unknown,South Region
182,2024-06-28,02:10,Thu,Unknown,Junction,56,Mud,Darkness - No Lighting,4,3,Serious,57.7689,0.8288,Port Leslieborough District,Hollandfurt,Vehicle Fault,North Region
183,2023-05-26,19:20,Sun,Fog,Dual Carriageway,65,Wet,Daylight,1,1,Serious,55.2067,1.7565,Bryantville District,Arielberg,Driver Error,East Region
184,2024-12-15,23:55,Tue,Windy,A-Road,24,Dry,Darkness - Lighting Unknown,2,5,Slight,55.2295,-1.9869,Jorgeton District,Chelseabury,Speeding,Metropolitan
185,2025-03-28,17:07,Wed,Rain,A-Road,29,Snow,Darkness - Lighting Unknown,1,6,Slight,52.7956,-0.3959,North Katie District,Smithtown,Speeding,West Region
186,2025-02-16,14:44,Sat,Snow,One Way Street,68,Ice,Twilight,2,6,Slight,51.9166,-4.5083,East Ryan District,New Gary,Distracted Driving,West Region
187,2024-06-09,09:54,Sat,Fog,Dual Carriageway,59,Wet,Darkness - Lighting Unknown,3,3,Slight,52.4167,-2.5256,Lake Abigail District,Lake Joann,Unknown,North Region
188,2025-05-15,11:45,Mon,Fog,A-Road,30,Flood,Darkness - Lights Lit,2,5,Slight,52.2184,-2.0329,Ryanbury District,New Terry,Weather Conditions,West Region
189,2025-06-01,20:44,Mon,Hail,Dual Carriageway,62,Wet,Darkness - Lights Lit,2,4,Slight,57.4542,1.0349,North Sylviaview District,Terrellchester,Weather Conditions,North Region
190,2023-10-14,18:50,Sat,Fine,Motorway,50,Ice,Darkness - Lighting Unknown,5,3,Serious,53.7098,-2.3305,Johnsonbury District,South Sydney,Road Condition,East Region
191,2024-05-08,15:38,Sat,Rain,Dual Carriageway,67,Dry,Twilight,5,4,Slight,57.6093,-1.9503,North Anthonyport District,Ryanhaven,Road Condition,West Region
192,2025-03-15,17:07,Mon,Snow,Motorway,61,Dry,Darkness - Lights Lit,1,4,Slight,55.5365,0.5311,Lake Samantha District,Whiteberg,Unknown,Metropolitan
193,2023-11-23,02:11,Sun,Windy,Roundabout,70,Mud,Darkness - Lighting Unknown,5,5,Slight,52.1306,-4.2763,East Stacy District,South Suzanne,Distracted Driving,South Region
194,2024-08-31,01:35,Wed,Fine,Roundabout,58,Snow,Darkness - Lights Lit,3,5,Slight,50.0329,-4.0606,Wolfeburgh District,Nicolestad,Vehicle Fault,South Region
195,2024-10-17,08:53,Mon,Windy,Roundabout,22,Mud,Darkness - Lighting Unknown,5,5,Slight,56.6124,0.4106,South Rebeccatown District,West Tiffany,Weather Conditions,West Region
196,2023-10-17,01:03,Wed,Windy,Motorway,58,Mud,Daylight,4,0,Slight,50.1706,0.1309,Lake Danielside District,Port Emily,Speeding,Metropolitan
197,2024-03-31,10:05,Thu,Fog,Motorway,68,Snow,Darkness - Lighting Unknown,1,6,Slight,56.9106,0.2035,Rojasshire District,Marcusberg,Unknown,South Region
198,2024-09-23,06:17,Sat,Snow,One Way Street,48,Wet,Darkness - Lighting Unknown,4,5,Slight,56.6646,0.5711,North Robinberg District,Foxhaven,Driver Error,West Region
199,2024-06-29,20:00,Tue,Fog,Motorway,31,Flood,Darkness - Lights Lit,5,1,Serious,50.9086,-0.8835,Natashaport District,South Laurie,Distracted Driving,Metropolitan
200,2024-07-02,23:47,Tue,Hail,B-Road,70,Mud,Darkness - Lighting Unknown,1,4,Fatal,57.5844,0.0373,Carlaberg District,South Noah,Unknown,South Region
201,2024-03-15,13:15,Fri,Windy,Roundabout,53,Mud,Darkness - Lighting Unknown,3,6,Slight,55.585,0.4313,South James District,Ballardberg,Speeding,West Region
202,2024-06-02,03:37,Wed,Fine,B-Road,52,Ice,Darkness - Lights Lit,5,4,Slight,51.5409,-1.313,Johntown District,Mitchellview,Weather Conditions,East Region
203,2025-06-05,07:38,Fri,Rain,Dual Carriageway,47,Snow,Daylight,2,4,Serious,53.4615,-4.8307,New Christopherton District,Lake Kimberly,Speeding,Metropolitan
204,2023-12-08,14:24,Tue,Snow,A-Road,43,Ice,Darkness - Lights Lit,5,1,Slight,56.724,1.7203,Port Bradley District,Ricefurt,Pedestrian Error,North Region
205,2024-11-18,18:26,Wed,Hail,Roundabout,63,Dry,Daylight,2,4,Serious,57.9931,-0.6768,Nicoleshire District,East Chad,Weather Conditions,Metropolitan
206,2023-06-15,20:29,Wed,Windy,Roundabout,29,Mud,Darkness - Lights Lit,1,0,Fatal,55.1713,-4.5538,Brianbury District,Albertfort,Unknown,South Region
207,2023-11-11,21:36,Sat,Unknown,Junction,58,Snow,Daylight,5,2,Slight,54.6931,-0.0445,New Caroline District,Kimberlyshire,Road Condition,West Region
208,2023-10-23,06:45,Tue,Unknown,Junction,30,Dry,Daylight,4,6,Serious,51.6731,-3.0704,New Daniel District,West April,Weather Conditions,East Region
209,2024-07-31,22:38,Thu,Fine,Motorway,60,Ice,Darkness - Lights Lit,3,4,Serious,56.6847,-2.7507,Lake Patriciaton District,Charlesbury,Unknown,West Region
210,2023-09-23,17:07,Tue,Fine,Motorway,21,Wet,Darkness - Lights Lit,3,6,Slight,52.0636,0.2781,Robertland District,Sheltonview,Weather Conditions,West Region
211,2023-02-16,16:34,Thu,Windy,A-Road,32,Snow,Twilight,4,5,Slight,57.4702,-1.8934,East Carla District,West Amyton,Speeding,East Region
212,2024-04-25,08:38,Sun,Hail,Dual Carriageway,60,Dry,Darkness - Lights Lit,3,4,Serious,54.72,-2.7697,Jenniferhaven District,Lake Matthew,Speeding,West Region
213,2023-04-01,21:32,Sun,Unknown,B-Road,42,Snow,Daylight,4,1,Slight,51.8852,-1.427,East Lori District,Ryanhaven,Drunk Driving,East Region
214,2023-02-09,05:11,Tue,Rain,Roundabout,46,Flood,Darkness - No Lighting,1,6,Fatal,57.7942,-4.0899,Websterfort District,North Michael,Speeding,South Region
215,2024-12-19,19:54,Fri,Snow,One Way Street,64,Wet,Darkness - Lights Lit,3,5,Slight,51.126,-2.6186,New Margaretshire District,North Lindsey,Weather Conditions,East Region
216,2025-06-07,13:03,Tue,Hail,Motorway,28,Dry,Twilight,5,0,Slight,56.7532,-1.2263,New Crystal District,Lebury,Unknown,Metropolitan
217,2024-08-07,22:46,Mon,Snow,Roundabout,47,Snow,Darkness - Lighting Unknown,3,2,Slight,51.9939,-3.0278,North Billy District,Palmermouth,Unknown,West Region
218,2023-10-25,09:14,Thu,Snow,Dual Carriageway,23,Ice,Darkness - Lights Lit,4,1,Serious,50.1173,-0.2874,South Shawn District,South Ericaborough,Vehicle Fault,North Region
219,2024-03-13,12:19,Mon,Rain,Motorway,32,Wet,Twilight,1,6,Slight,51.4175,-2.1472,Port Erika District,South Jesse,Pedestrian Error,East Region
220,2024-05-08,23:17,Mon,Unknown,Dual Carriageway,52,Flood,Darkness - Lighting Unknown,1,0,Serious,51.5905,-1.7437,Brookeside District,Christinaport,Drunk Driving,South Region
221,2023-01-28,11:29,Thu,Fine,A-Road,44,Ice,Darkness - No Lighting,4,6,Slight,54.1586,-1.9432,Lake Richard District,Lake Jenniferview,Distracted Driving,West Region
222,2024-04-02,22:12,Sun,Fog,Dual Carriageway,20,Mud,Darkness - Lighting Unknown,5,5,Slight,51.4084,0.7946,East Nicole District,Patricialand,Vehicle Fault,East Region
223,2024-05-31,03:14,Fri,Rain,Motorway,24,Snow,Darkness - Lighting Unknown,2,4,Slight,57.145,1.0195,Dominiqueview District,Rodriguezmouth,Weather Conditions,South Region
224,2023-08-17,13:10,Mon,Fine,B-Road,31,Wet,Daylight,3,5,Serious,50.6847,-2.1111,New Nancy District,East Shawnmouth,Drunk Driving,Metropolitan
225,2025-06-24,02:22,Sun,Rain,A-Road,51,Snow,Darkness - Lighting Unknown,4,2,Slight,51.7091,0.7694,New Annmouth District,Nathanielburgh,Weather Conditions,South Region
226,2024-09-19,21:53,Sat,Rain,B-Road,70,Dry,Darkness - Lights Lit,2,2,Slight,54.5165,-1.5742,Sydneyfort District,Dominguezberg,Pedestrian Error,East Region
227,2024-06-10,08:08,Fri,Fine,Roundabout,28,Dry,Daylight,4,0,Slight,52.3288,-3.4716,Wilsonhaven District,Watkinstown,Driver Error,West Region
228,2024-12-13,04:50,Thu,Fine,B-Road,47,Mud,Darkness - Lighting Unknown,4,3,Slight,51.816,-3.541,North Manuelburgh District,East Gregoryland,Drunk Driving,North Region
229,2024-08-19,23:58,Thu,Rain,Junction,43,Wet,Daylight,1,2,Slight,53.9285,-3.6692,Gutierrezborough District,Fullerfort,Road Condition,South Region
230,2023-04-24,00:36,Tue,Rain,A-Road,62,Mud,Darkness - No Lighting,3,6,Serious,53.8646,-1.9518,Williamshire District,Alvarezshire,Unknown,West Region
231,2025-06-25,22:39,Thu,Windy,Dual Carriageway,66,Flood,Darkness - Lighting Unknown,2,5,Serious,56.6897,1.3684,Port Cherylburgh District,Lake Jordan,Distracted Driving,West Region
232,2023-03-11,13:30,Sat,Rain,Roundabout,47,Mud,Darkness - Lights Lit,2,3,Slight,56.8463,1.1296,New Sydneystad District,Staceyfort,Unknown,North Region
233,2023-11-02,11:03,Mon,Hail,One Way Street,34,Mud,Darkness - Lighting Unknown,5,0,Slight,52.8132,-0.2567,Amandaton District,East Julie,Unknown,South Region
234,2023-11-08,12:31,Sat,Fine,B-Road,28,Snow,Darkness - Lighting Unknown,1,3,Slight,50.2327,-1.8715,East Erikafort District,Port Morgan,Drunk Driving,South Region
235,2023-08-31,04:18,Sun,Unknown,B-Road,21,Wet,Darkness - Lights Lit,5,2,Serious,54.6365,1.3277,Johnsonburgh District,Willistown,Driver Error,East Region
236,2025-03-18,08:35,Tue,Fine,A-Road,67,Flood,Daylight,1,2,Slight,55.2499,-2.271,Morenobury District,East Alicefort,Road Condition,West Region
237,2024-11-28,06:37,Tue,Hail,A-Road,38,Ice,Twilight,4,2,Slight,54.5156,0.3937,Dayton District,Katrinachester,Road Condition,East Region
238,2024-12-05,17:09,Sun,Fine,B-Road,31,Mud,Twilight,1,0,Slight,57.1063,1.886,North Denise District,Evansland,Pedestrian Error,North Region
239,2023-03-21,06:04,Fri,Rain,B-Road,20,Mud,Twilight,5,3,Slight,56.9662,-3.469,New Justin District,East Ryanborough,Vehicle Fault,East Region
240,2024-07-01,03:56,Mon,Rain,Dual Carriageway,56,Wet,Daylight,5,4,Fatal,56.874,-1.2848,Staffordstad District,Kellyside,Unknown,South Region
241,2023-10-29,09:50,Sat,Windy,Junction,58,Flood,Darkness - Lights Lit,5,1,Fatal,56.1873,-3.7714,Mistychester District,South Abigailburgh,Distracted Driving,Metropolitan
242,2023-07-29,12:11,Thu,Snow,Junction,28,Ice,Darkness - Lights Lit,2,2,Serious,56.5757,0.791,North Sandraborough District,Port Sarahtown,Driver Error,Metropolitan
243,2023-07-22,01:55,Mon,Fine,A-Road,66,Wet,Daylight,3,1,Serious,57.5195,-0.3812,Franklinborough District,Amyhaven,Pedestrian Error,North Region
244,2025-06-28,00:43,Sat,Unknown,Motorway,66,Flood,Daylight,4,0,Slight,57.9122,1.2962,Lynchfort District,New Melissa,Unknown,South Region
245,2024-02-20,09:46,Fri,Snow,A-Road,54,Dry,Daylight,3,2,Fatal,52.0621,0.4985,Williamborough District,Port Joseph,Pedestrian Error,South Region
246,2023-12-24,10:02,Thu,Fog,A-Road,57,Ice,Twilight,1,0,Slight,54.815,-1.643,New Ashley District,Port Derekstad,Driver Error,East Region
247,2023-10-04,09:21,Tue,Snow,Dual Carriageway,28,Snow,Darkness - Lights Lit,1,6,Slight,53.6672,1.6236,Vanessahaven District,Lake Roberthaven,Road Condition,North Region
248,2025-02-13,17:06,Fri,Hail,Roundabout,65,Ice,Twilight,2,1,Serious,52.766,-1.2047,West Benjamin District,Josephmouth,Driver Error,South Region
249,2025-04-05,21:15,Mon,Rain,One Way Street,25,Snow,Twilight,2,2,Slight,54.2985,-4.8309,Gravesmouth District,South Lisaborough,Speeding,North Region
250,2023-03-28,18:08,Tue,Snow,Junction,64,Ice,Darkness - Lights Lit,5,1,Slight,52.9704,-2.1113,Chandlerstad District,Tracychester,Unknown,East Region
251,2025-06-04,06:52,Fri,Windy,A-Road,38,Mud,Darkness - No Lighting,5,6,Slight,56.2478,1.2813,North Calebland District,Kennethtown,Unknown,South Region
252,2023-12-24,03:52,Thu,Fine,Junction,64,Dry,Twilight,1,6,Slight,54.6797,0.98,Davidville District,Port Jeffreytown,Unknown,West Region
253,2023-08-15,09:02,Thu,Unknown,One Way Street,65,Wet,Darkness - No Lighting,3,1,Slight,51.6112,-3.4198,West Michaelmouth District,Lake Leslie,Speeding,West Region
254,2023-04-30,11:19,Tue,Fog,Junction,43,Dry,Daylight,3,3,Slight,54.6672,0.6933,New Benjamin District,Garnerhaven,Vehicle Fault,East Region
255,2023-06-05,18:06,Sun,Windy,A-Road,26,Snow,Darkness - Lights Lit,1,0,Slight,55.7754,0.1085,South Gregory District,Port Lisashire,Pedestrian Error,South Region
256,2024-01-06,01:41,Wed,Fine,Junction,51,Dry,Darkness - No Lighting,3,6,Slight,57.4072,1.6356,Taylorhaven District,East Rachaelville,Unknown,Metropolitan
257,2023-05-02,15:14,Thu,Unknown,Junction,37,Snow,Darkness - Lighting Unknown,2,4,Slight,56.4219,1.1377,Cummingsstad District,Lake Travis,Pedestrian Error,Metropolitan
258,2023-03-31,21:24,Thu,Fine,A-Road,21,Wet,Darkness - Lighting Unknown,5,3,Slight,52.5397,-2.1155,Mcphersonfort District,Lake Roberthaven,Drunk Driving,South Region
259,2024-06-28,23:06,Thu,Hail,Motorway,29,Ice,Twilight,4,4,Serious,57.5571,-3.2333,North Josephhaven District,Tabithastad,Pedestrian Error,West Region
260,2023-03-17,19:06,Wed,Fog,Roundabout,29,Dry,Daylight,2,6,Slight,53.9902,-2.9172,Lake Eileen District,Nicholaston,Distracted Driving,East Region
261,2023-12-29,10:38,Tue,Windy,B-Road,67,Dry,Daylight,1,6,Slight,53.3137,-1.1115,Davisland District,Robertburgh,Distracted Driving,East Region
262,2024-02-11,05:40,Wed,Unknown,A-Road,40,Dry,Daylight,4,3,Slight,51.1625,-1.6021,Lake Renee District,South Louis,Vehicle Fault,South Region
263,2025-06-08,10:39,Sat,Rain,Motorway,70,Ice,Daylight,1,3,Slight,50.6021,-1.2908,Port Johnhaven District,Crawfordmouth,Pedestrian Error,South Region
264,2023-10-19,03:04,Thu,Fine,Junction,54,Wet,Darkness - No Lighting,5,1,Slight,54.6484,-4.4598,Lake Ethan District,North Megan,Vehicle Fault,North Region
265,2024-12-31,02:52,Mon,Rain,B-Road,31,Snow,Darkness - No Lighting,4,6,Slight,53.1669,-0.5538,West Brittany District,Joannamouth,Pedestrian Error,Metropolitan
266,2025-03-21,10:17,Mon,Hail,Junction,67,Snow,Daylight,5,4,Slight,55.7896,0.4325,Alexisfort District,South Johnmouth,Speeding,Metropolitan
267,2023-02-08,16:05,Mon,Fine,One Way Street,62,Snow,Daylight,5,2,Slight,55.4116,1.736,West Sherri District,West Ryanville,Vehicle Fault,North Region
268,2024-03-04,05:42,Tue,Fine,B-Road,65,Mud,Daylight,2,4,Slight,54.3641,-4.8947,North David District,Mitchellside,Weather Conditions,West Region
269,2023-12-07,12:28,Fri,Fine,Motorway,23,Ice,Twilight,4,3,Slight,52.5468,-3.2816,Hensleyborough District,Port Kellychester,Driver Error,South Region
270,2024-05-03,18:11,Sat,Unknown,Motorway,32,Ice,Daylight,5,6,Serious,57.2433,-4.9291,Thompsonchester District,Jessicaland,Road Condition,North Region
271,2025-05-12,16:53,Sat,Fog,Dual Carriageway,61,Flood,Darkness - Lighting Unknown,4,1,Slight,57.8519,-3.7307,Jordanfort District,West Anthony,Road Condition,East Region
272,2025-01-04,12:46,Mon,Windy,One Way Street,40,Ice,Darkness - Lighting Unknown,1,2,Slight,53.1879,0.9673,New Connor District,Mosleyfurt,Pedestrian Error,East Region
273,2024-10-23,13:19,Mon,Fine,A-Road,36,Snow,Twilight,5,5,Slight,57.0623,-2.246,East Jamestown District,Josephfurt,Vehicle Fault,North Region
274,2024-02-21,20:00,Wed,Rain,A-Road,39,Snow,Darkness - Lights Lit,2,4,Slight,55.7278,-4.074,Marcberg District,Coxhaven,Unknown,North Region
275,2023-11-06,19:24,Tue,Fine,A-Road,37,Flood,Darkness - No Lighting,4,5,Serious,55.488,1.7562,Mccoyville District,New Oliviahaven,Road Condition,West Region
276,2023-05-20,18:39,Tue,Hail,One Way Street,28,Flood,Daylight,1,4,Slight,56.8501,-0.9891,Jonesbury District,Maddoxville,Weather Conditions,West Region
277,2023-01-26,14:18,Fri,Fine,Junction,41,Wet,Daylight,5,3,Fatal,53.5128,0.112,West Johnchester District,Lake Zacharychester,Drunk Driving,South Region
278,2024-10-11,02:38,Fri,Hail,One Way Street,62,Dry,Darkness - Lighting Unknown,3,0,Slight,52.1333,-1.2373,South Terrence District,Palmerbury,Road Condition,East Region
279,2025-01-02,20:19,Fri,Fine,One Way Street,43,Mud,Darkness - No Lighting,5,5,Slight,51.8352,-2.3908,Perkinsland District,East Katelyn,Road Condition,North Region
280,2023-08-01,23:15,Wed,Rain,A-Road,28,Ice,Darkness - Lights Lit,2,4,Slight,53.0701,-4.4476,Nancyside District,Melissatown,Distracted Driving,South Region
281,2024-11-03,15:26,Thu,Snow,Junction,66,Flood,Daylight,2,5,Slight,53.443,-4.9078,North Christopherview District,Simpsonmouth,Unknown,Metropolitan
282,2024-12-18,17:36,Wed,Fog,Roundabout,46,Flood,Darkness - Lights Lit,4,3,Slight,50.9283,-0.429,Klinestad District,Lake Jason,Driver Error,South Region
283,2024-06-13,14:37,Sun,Fine,Dual Carriageway,69,Wet,Darkness - No Lighting,3,0,Serious,50.3842,1.383,Jimenezside District,Port Tammy,Drunk Driving,East Region
284,2025-03-01,16:05,Sat,Snow,Dual Carriageway,66,Snow,Darkness - Lighting Unknown,4,5,Serious,57.8301,1.054,Kimbury District,New Heather,Speeding,West Region
285,2023-06-03,19:35,Sun,Fine,Roundabout,67,Flood,Darkness - Lights Lit,5,1,Serious,55.2728,-0.2405,Olsonmouth District,Donaldburgh,Vehicle Fault,North Region
286,2025-05-20,08:46,Wed,Fine,One Way Street,39,Ice,Twilight,1,4,Slight,55.3085,0.1311,North John District,Port Allison,Road Condition,West Region
287,2023-11-27,09:17,Sat,Rain,Roundabout,33,Wet,Darkness - No Lighting,1,5,Slight,54.167,-2.8436,South Dwayne District,North Richard,Road Condition,East Region
288,2024-01-15,21:15,Fri,Fog,Dual Carriageway,48,Flood,Daylight,5,5,Slight,50.5493,-0.5757,Meredithmouth District,South Chadchester,Vehicle Fault,Metropolitan
289,2024-09-05,11:01,Sat,Rain,B-Road,57,Mud,Darkness - No Lighting,2,5,Slight,51.4884,-4.0723,Jonburgh District,Lake Jessica,Distracted Driving,West Region
290,2023-09-06,19:11,Fri,Hail,A-Road,23,Wet,Darkness - No Lighting,3,3,Serious,51.0557,-2.2121,West Paulborough District,Millerbury,Driver Error,North Region
291,2025-06-26,22:32,Mon,Hail,A-Road,31,Ice,Darkness - Lighting Unknown,2,1,Serious,53.4274,-1.007,Candaceview District,Wongport,Weather Conditions,East Region
292,2023-06-27,16:26,Wed,Rain,Roundabout,25,Dry,Twilight,5,3,Slight,51.7601,-2.5004,Amandafort District,North Jessicashire,Speeding,West Region
293,2024-10-12,09:40,Thu,Unknown,B-Road,42,Mud,Darkness - Lights Lit,5,3,Slight,56.4987,0.7738,New Timothyville District,South Karenbury,Speeding,East Region
294,2025-05-29,18:57,Mon,Fine,B-Road,67,Snow,Darkness - Lighting Unknown,5,2,Slight,54.2062,1.0245,Tuckerborough District,Hoganfurt,Vehicle Fault,West Region
295,2024-05-17,04:32,Fri,Windy,Roundabout,64,Snow,Twilight,3,4,Slight,54.7162,-4.523,Carlamouth District,West Edwardstad,Vehicle Fault,South Region
296,2024-04-25,08:02,Fri,Rain,Junction,49,Flood,Darkness - Lighting Unknown,1,4,Slight,54.1105,0.4718,Pittsville District,Perrymouth,Driver Error,East Region
297,2024-04-17,14:59,Wed,Unknown,One Way Street,66,Flood,Daylight,4,4,Slight,53.1862,-3.3966,Sharonview District,Kennethland,Weather Conditions,North Region
298,2024-04-03,22:25,Sun,Hail,B-Road,42,Dry,Darkness - Lights Lit,5,0,Slight,54.7943,-3.6226,New Kelseyburgh District,New Elizabeth,Weather Conditions,North Region
299,2024-01-29,00:22,Thu,Unknown,Motorway,41,Flood,Twilight,4,2,Serious,54.3454,-3.6184,Port Carolview District,Christopherstad,Driver Error,Metropolitan
300,2023-12-23,22:18,Thu,Fog,Motorway,39,Snow,Darkness - No Lighting,1,3,Fatal,52.0557,0.3897,East William District,Calhounton,Driver Error,Metropolitan
301,2023-09-17,02:33,Sun,Unknown,Motorway,42,Flood,Darkness - No Lighting,3,0,Serious,56.193,1.8725,Nancyberg District,Lake Joel,Road Condition,Metropolitan
302,2023-10-12,23:13,Sat,Fine,Dual Carriageway,39,Snow,Darkness - Lights Lit,2,1,Slight,56.5499,-2.0838,Kevinmouth District,Stephaniestad,Speeding,West Region
303,2023-10-11,10:08,Sun,Unknown,One Way Street,58,Flood,Darkness - No Lighting,2,5,Serious,55.6037,-2.3699,Lake Michael District,Nelsonville,Road Condition,West Region
304,2024-03-19,17:42,Tue,Windy,Junction,52,Mud,Twilight,1,1,Slight,51.7554,-2.5809,Port Tina District,New Gregoryton,Drunk Driving,North Region
305,2025-06-13,10:26,Thu,Hail,Motorway,50,Wet,Darkness - No Lighting,5,6,Slight,52.7785,-2.3586,Richardsonfurt District,North Steven,Road Condition,East Region
306,2024-08-29,19:28,Wed,Windy,Roundabout,69,Mud,Daylight,2,2,Slight,54.9919,-4.3682,Jesusberg District,Tracyshire,Unknown,South Region
307,2023-05-23,07:42,Sun,Snow,Roundabout,40,Ice,Darkness - Lights Lit,1,1,Slight,56.637,-0.7106,East Christine District,New Christopherville,Unknown,East Region
308,2024-04-03,21:18,Sat,Snow,Junction,54,Ice,Darkness - Lighting Unknown,1,4,Slight,57.9992,-3.3274,Maryfort District,East Patrick,Weather Conditions,North Region
309,2025-04-07,00:36,Wed,Hail,One Way Street,50,Dry,Twilight,5,0,Slight,55.5478,-4.501,Leahbury District,East Kimmouth,Drunk Driving,East Region
310,2024-11-11,22:59,Sun,Snow,One Way Street,37,Wet,Twilight,1,3,Serious,57.364,-3.5735,West Wendymouth District,New Haleyview,Pedestrian Error,South Region
311,2023-06-02,13:36,Mon,Hail,Motorway,70,Flood,Darkness - Lighting Unknown,3,4,Slight,52.5132,-3.2103,Morrismouth District,East Gregorystad,Pedestrian Error,South Region
312,2024-04-13,22:22,Thu,Fine,Roundabout,54,Wet,Darkness - Lights Lit,5,3,Slight,51.1898,-4.2334,West Ryanville District,South Amanda,Road Condition,North Region
313,2023-08-09,06:38,Sat,Fog,B-Road,68,Mud,Darkness - No Lighting,2,0,Slight,52.6075,-2.8758,Nancyview District,Martinstad,Unknown,South Region
314,2023-12-24,02:31,Tue,Snow,Junction,30,Flood,Darkness - Lights Lit,4,6,Serious,52.2599,1.2092,Judybury District,Toddchester,Unknown,South Region
315,2025-02-18,19:43,Wed,Fine,A-Road,28,Flood,Darkness - No Lighting,1,5,Slight,53.078,-4.8476,East Heather District,East Patrick,Pedestrian Error,West Region
316,2023-01-29,21:32,Sun,Unknown,B-Road,35,Flood,Darkness - Lights Lit,1,5,Serious,51.0404,-4.8554,North Christophermouth District,Port Craig,Speeding,Metropolitan
317,2024-03-03,23:38,Wed,Windy,Junction,27,Dry,Twilight,5,2,Slight,53.7556,-2.4126,East Lisa District,East Natalie,Unknown,South Region
