employee_id,age,gender,marital_status,department,job_role,education,education_field,distance_from_km,business_travel,environment_satisfaction,job_satisfaction,work_life_balance,job_involvement,performance_rating,overtime,num_companies_worked,years_at_company,years_in_current_role,years_since_last_promotion,total_working_years,monthly_income,salary_slab,attrition,attrition_label,over_time_bin
375,22,Other,Married,Sales,Associate,High School,Other,79,Non-Travel,1,2,4,3,2,Yes,1,19,9,8,9,43975.53,Medium,No,Staying,Yes
376,43,Female,Divorced,Sales,Lead,High School,Technical Degree,15,Travel Frequently,3,4,2,2,2,Yes,4,22,8,8,0,77120.81,Medium,No,Staying,Yes
377,37,Female,Married,Human Resources,Associate,Masters,Technical Degree,67,Travel Rarely,1,1,2,3,2,No,7,20,13,0,8,143773.56,Very High,No,Staying,No
378,43,Female,Married,Technology,Analyst,Associate,Technical Degree,38,Travel Rarely,4,3,2,1,2,No,6,12,10,8,28,111013.98,High,No,Staying,No
379,39,Male,Single,Finance,Lead,Masters,Medical,9,Travel Rarely,2,2,4,3,4,No,6,8,1,1,26,41530.86,Medium,No,Staying,No
380,25,Other,Single,Marketing,Manager,High School,Business Management,35,Travel Frequently,2,1,4,1,1,Yes,7,0,0,0,33,82325.98,Very High,Yes,Leaving,Yes
381,50,Female,Married,Technology,Senior Analyst,Bachelors,Marketing,35,Travel Frequently,4,3,2,3,1,No,1,1,1,1,35,93526.82,Low,No,Staying,Yes
382,55,Male,Married,R&D,Lead,Associate,Medical,26,Travel Rarely,2,3,3,3,2,Yes,5,3,1,3,0,110137.36,Low,No,Staying,No
383,51,Male,Divorced,Operations,Specialist,Masters,Medical,18,Travel Rarely,1,1,1,4,4,Yes,1,2,2,2,18,88017.42,Very High,No,Staying,No
384,29,Female,Married,Legal,Specialist,Masters,Business Management,66,Travel Frequently,2,2,3,4,3,No,4,6,0,6,33,84032.18,Very High,No,Staying,No
385,60,Male,Single,Finance,Specialist,Bachelors,Medical,16,Travel Rarely,1,1,2,4,3,Yes,7,27,8,5,16,140627.58,High,No,Staying,Yes
386,27,Female,Divorced,Human Resources,VP,PhD,Human Resources,40,Non-Travel,3,4,1,2,3,No,1,23,12,4,29,88016.05,Very High,No,Staying,No
387,36,Male,Married,Legal,Junior Associate,High School,Human Resources,36,Non-Travel,4,2,2,2,2,Yes,4,17,5,3,32,69262.03,High,No,Staying,No
388,47,Female,Married,R&D,Lead,PhD,Business Management,23,Travel Frequently,1,1,4,1,2,No,6,29,1,3,27,42445.34,Low,No,Staying,No
389,29,Other,Married,Legal,Specialist,High School,Business Management,21,Travel Frequently,3,2,3,2,4,No,1,15,4,0,0,79853.3,High,No,Staying,Yes
390,30,Male,Single,Human Resources,Manager,High School,Marketing,4,Travel Frequently,2,2,2,1,4,Yes,5,15,15,5,38,102453.81,Medium,No,Staying,No
391,52,Female,Divorced,Legal,Junior Associate,PhD,Marketing,10,Travel Rarely,1,4,3,2,4,No,0,9,3,6,14,93991.99,Low,No,Staying,No
392,40,Other,Married,Sales,Specialist,High School,Other,37,Travel Rarely,2,3,4,1,1,Yes,5,6,6,6,4,93398.02,Very High,No,Staying,No
393,39,Female,Divorced,Marketing,Specialist,Masters,Other,5,Non-Travel,3,1,2,3,4,Yes,6,14,2,3,37,33012.33,High,No,Staying,Yes
394,48,Female,Divorced,Legal,Associate,Associate,Other,77,Travel Frequently,4,1,3,3,1,No,2,15,0,5,8,89134.99,Medium,No,Staying,No
395,25,Other,Single,Finance,Junior Associate,Masters,Human Resources,45,Travel Rarely,4,1,4,3,4,No,3,15,14,4,13,110414.84,Very High,No,Staying,No
396,32,Female,Married,Technology,Executive,Masters,Technical Degree,78,Non-Travel,4,1,1,2,3,No,3,1,1,1,24,60658.16,Low,No,Staying,No
397,55,Male,Married,Finance,Associate,Masters,Human Resources,53,Travel Rarely,2,2,1,4,2,No,7,9,9,5,1,55682.89,Very High,Yes,Leaving,No
398,49,Female,Divorced,Operations,Analyst,Masters,Technical Degree,24,Travel Rarely,4,1,1,3,1,No,6,10,1,7,16,69200.15,Very High,No,Staying,Yes
399,56,Male,Married,Technology,Executive,PhD,Medical,24,Non-Travel,1,3,2,4,1,No,5,22,15,6,22,65098.56,Medium,No,Staying,No
400,45,Male,Single,Legal,Executive,Bachelors,Human Resources,4,Travel Frequently,1,1,2,2,4,No,4,25,4,6,7,103088.27,Medium,No,Staying,No
401,36,Female,Single,Legal,Senior Analyst,Bachelors,Marketing,6,Travel Rarely,1,2,2,2,2,Yes,6,3,1,3,14,33906.7,Low,Yes,Leaving,No
402,44,Other,Divorced,Technology,Lead,Bachelors,Marketing,78,Travel Rarely,4,4,4,4,4,No,1,19,15,2,6,96811.27,Medium,No,Staying,Yes
403,35,Male,Married,Marketing,Junior Associate,Masters,Other,44,Non-Travel,1,3,3,3,2,Yes,0,14,14,8,26,86156.36,Low,Yes,Leaving,No
404,40,Male,Single,Legal,Associate,Masters,Medical,41,Non-Travel,4,3,3,4,3,No,4,7,7,0,2,44206.02,Very High,No,Staying,Yes
405,24,Other,Married,Sales,Junior Associate,PhD,Medical,32,Non-Travel,3,1,4,1,2,Yes,1,8,5,6,12,133013.69,Very High,No,Staying,No
406,55,Other,Divorced,Operations,Director,High School,Business Management,73,Travel Frequently,4,1,4,3,2,No,1,15,9,7,16,73538.01,Low,Yes,Leaving,No
407,46,Other,Divorced,R&D,Associate,High School,Human Resources,3,Non-Travel,4,3,4,1,4,No,6,27,0,2,36,53608.25,Low,Yes,Leaving,No
408,26,Female,Married,Marketing,Manager,Bachelors,Marketing,33,Travel Frequently,1,3,3,4,3,No,5,18,6,5,35,83489.5,Medium,No,Staying,No
409,58,Male,Married,Human Resources,Specialist,Associate,Technical Degree,70,Travel Rarely,2,2,1,4,2,Yes,3,16,9,4,27,143919.3,High,No,Staying,No
410,37,Other,Single,R&D,Lead,Masters,Medical,56,Travel Rarely,3,1,2,2,3,No,6,24,0,7,18,96614.62,High,No,Staying,No
411,40,Male,Single,Technology,Associate,Bachelors,Other,7,Non-Travel,2,1,1,4,4,No,4,17,2,4,0,117833.93,Medium,No,Staying,Yes
412,27,Other,Divorced,Operations,Director,High School,Marketing,69,Travel Frequently,1,1,2,1,2,Yes,3,30,4,8,28,101914.87,Medium,No,Staying,No
413,46,Other,Divorced,Legal,Director,PhD,Technical Degree,25,Travel Frequently,4,2,4,1,2,No,7,10,2,0,27,140059.0,Very High,No,Staying,No
414,48,Male,Single,Finance,Specialist,High School,Technical Degree,54,Non-Travel,4,1,2,1,4,Yes,4,22,6,2,19,41293.04,High,Yes,Leaving,No
415,31,Female,Single,Finance,Specialist,Masters,Medical,33,Non-Travel,2,2,1,1,2,No,8,30,11,1,25,97630.94,Low,No,Staying,No
416,23,Other,Single,Marketing,Senior Analyst,High School,Marketing,3,Travel Frequently,4,2,4,1,1,No,7,11,10,2,35,79552.96,Very High,No,Staying,Yes
417,26,Other,Single,Finance,Junior Associate,High School,Marketing,26,Travel Frequently,1,4,1,4,1,No,5,22,5,1,25,59155.62,Low,No,Staying,Yes
418,45,Male,Married,Finance,Director,Masters,Technical Degree,77,Travel Rarely,1,2,4,1,2,Yes,6,11,10,0,32,102317.42,High,Yes,Leaving,No
419,47,Male,Single,Finance,Analyst,Bachelors,Business Management,20,Travel Rarely,1,2,4,1,2,No,1,10,7,1,39,70104.73,Low,No,Staying,No
420,22,Female,Married,Human Resources,Associate,PhD,Human Resources,29,Travel Rarely,3,1,1,4,3,No,7,21,14,0,38,50315.32,High,No,Staying,No
421,44,Female,Divorced,Legal,Lead,Masters,Human Resources,38,Non-Travel,3,1,1,4,3,No,7,26,1,7,12,98768.72,High,No,Staying,No
422,47,Male,Married,R&D,VP,Masters,Human Resources,48,Travel Rarely,2,4,3,2,1,Yes,8,4,4,0,29,111662.15,High,Yes,Leaving,Yes
423,27,Other,Married,Technology,Executive,Associate,Technical Degree,15,Travel Rarely,1,2,3,4,1,No,0,15,12,6,15,69057.06,Very High,No,Staying,No
424,56,Female,Divorced,Operations,Analyst,High School,Life Sciences,17,Travel Frequently,3,2,3,2,2,No,1,1,1,1,2,41290.82,Medium,No,Staying,No
425,56,Female,Divorced,Human Resources,Manager,Masters,Business Management,53,Travel Rarely,3,2,3,1,1,Yes,4,17,2,2,13,56797.11,Low,No,Staying,Yes
426,26,Other,Single,Finance,VP,Masters,Human Resources,69,Travel Frequently,3,1,2,2,3,No,6,24,4,8,14,98682.48,Very High,No,Staying,Yes
427,33,Female,Single,R&D,Director,Bachelors,Medical,33,Travel Rarely,2,2,3,1,3,No,7,27,4,7,27,65011.88,Medium,No,Staying,No
428,44,Male,Divorced,Technology,Associate,Associate,Medical,39,Non-Travel,3,1,4,1,4,Yes,6,2,0,0,8,71663.71,High,Yes,Leaving,Yes
429,51,Male,Single,Technology,Manager,High School,Life Sciences,2,Travel Frequently,2,3,3,2,3,No,2,17,7,2,36,38757.11,Very High,Yes,Leaving,Yes
430,24,Male,Divorced,Legal,Specialist,Masters,Other,78,Travel Frequently,2,3,1,1,1,Yes,7,24,15,5,27,73299.72,High,No,Staying,No
431,30,Male,Married,Human Resources,Director,Bachelors,Marketing,12,Travel Frequently,1,1,1,3,3,Yes,1,13,12,7,22,58643.28,Very High,No,Staying,Yes
432,22,Other,Divorced,Sales,Senior Analyst,PhD,Technical Degree,66,Travel Rarely,2,4,2,4,2,No,0,19,8,3,3,77211.74,Very High,No,Staying,No
433,53,Male,Married,Legal,VP,PhD,Human Resources,16,Travel Frequently,4,1,3,4,1,Yes,1,8,2,8,5,34869.99,High,No,Staying,No
434,30,Female,Married,Marketing,Senior Analyst,Associate,Other,5,Travel Rarely,4,1,3,1,4,Yes,7,3,3,3,16,135912.49,Medium,No,Staying,No
435,59,Female,Single,R&D,Director,PhD,Technical Degree,44,Non-Travel,1,4,4,3,1,Yes,6,22,2,4,29,149691.74,Very High,No,Staying,Yes
436,47,Female,Single,R&D,Associate,Associate,Marketing,11,Travel Rarely,3,2,3,1,1,Yes,7,16,12,2,10,31549.16,High,No,Staying,Yes
437,31,Female,Married,Technology,Specialist,PhD,Other,52,Travel Frequently,4,4,3,4,4,Yes,4,14,11,3,32,61327.19,High,No,Staying,No
438,36,Male,Divorced,Finance,Senior Analyst,Associate,Life Sciences,9,Non-Travel,1,1,1,4,4,Yes,8,10,10,3,7,88391.92,Medium,No,Staying,No
439,22,Female,Divorced,Human Resources,Analyst,High School,Other,70,Travel Frequently,3,4,4,1,3,No,0,2,2,2,22,148623.67,Low,No,Staying,Yes
440,49,Female,Divorced,Sales,Lead,Masters,Human Resources,62,Travel Rarely,2,3,3,1,3,No,4,24,1,3,21,105837.87,Low,No,Staying,No
441,57,Female,Single,Legal,Director,Bachelors,Business Management,39,Travel Frequently,2,3,3,1,1,No,4,15,0,2,34,119958.03,High,No,Staying,No
442,43,Male,Married,Marketing,Junior Associate,PhD,Technical Degree,8,Travel Rarely,2,3,3,4,2,Yes,3,6,6,1,40,120386.21,High,No,Staying,No
443,48,Male,Divorced,Technology,Specialist,Bachelors,Business Management,76,Travel Rarely,4,2,3,3,2,No,3,14,14,5,35,85546.89,High,No,Staying,No
444,24,Other,Married,Human Resources,Executive,High School,Other,14,Travel Frequently,3,1,2,4,3,Yes,7,14,13,2,26,108867.17,Very High,No,Staying,No
445,46,Other,Married,Human Resources,Director,Bachelors,Business Management,69,Non-Travel,2,3,3,2,2,No,5,23,8,6,20,148641.95,Medium,No,Staying,No
446,40,Other,Divorced,Operations,Associate,PhD,Life Sciences,4,Travel Rarely,3,3,2,3,3,Yes,0,27,12,6,17,100986.64,Very High,No,Staying,No
447,27,Male,Divorced,Marketing,Junior Associate,Masters,Technical Degree,21,Travel Frequently,4,2,2,4,2,No,6,13,1,4,17,32804.46,Very High,Yes,Leaving,Yes
448,22,Female,Married,Human Resources,Associate,Associate,Technical Degree,7,Travel Frequently,3,2,3,2,1,No,2,23,14,4,2,99752.14,Low,No,Staying,Yes
449,44,Male,Single,Technology,Lead,Bachelors,Business Management,58,Travel Rarely,4,2,2,2,3,No,1,18,4,2,40,138626.84,Low,No,Staying,No
450,50,Other,Single,Marketing,Senior Analyst,Masters,Other,19,Travel Frequently,4,2,4,1,2,No,8,10,4,4,38,148156.8,Low,No,Staying,No
451,45,Female,Married,Legal,Specialist,Masters,Technical Degree,43,Travel Frequently,3,2,2,2,3,Yes,2,24,5,7,27,114222.68,Low,No,Staying,No
452,44,Other,Divorced,Sales,Analyst,High School,Other,67,Travel Frequently,2,3,2,3,3,Yes,2,9,9,1,30,72862.97,High,No,Staying,No
453,32,Male,Single,Operations,Director,Bachelors,Marketing,22,Travel Rarely,3,4,1,3,2,Yes,7,9,9,6,5,72523.94,Low,Yes,Leaving,No
454,51,Other,Single,Finance,Senior Analyst,Bachelors,Life Sciences,23,Non-Travel,2,4,3,2,1,No,5,3,3,2,11,90865.42,Very High,Yes,Leaving,No
455,42,Other,Single,Finance,Junior Associate,Bachelors,Other,4,Non-Travel,1,4,4,3,1,Yes,6,20,12,0,7,91365.94,Very High,No,Staying,No
456,58,Female,Divorced,R&D,Executive,Bachelors,Other,7,Non-Travel,1,3,3,2,4,Yes,3,27,8,0,33,121740.09,Medium,No,Staying,Yes
457,54,Other,Divorced,Finance,Director,Masters,Medical,69,Non-Travel,3,2,1,4,4,Yes,4,9,1,4,18,121264.18,Low,Yes,Leaving,Yes
458,39,Female,Single,Human Resources,Director,Masters,Medical,75,Travel Rarely,3,3,1,1,3,No,5,22,8,3,17,116763.88,Medium,No,Staying,No
459,44,Female,Married,Marketing,Director,High School,Business Management,70,Travel Rarely,4,1,1,3,2,Yes,7,25,10,7,35,96866.13,Low,No,Staying,Yes
460,34,Other,Married,Human Resources,Analyst,PhD,Medical,33,Travel Rarely,2,2,2,3,1,Yes,2,8,8,1,4,58168.98,High,No,Staying,No
461,41,Male,Single,Marketing,Executive,PhD,Human Resources,48,Travel Rarely,3,4,2,3,2,Yes,1,4,4,3,33,65639.42,High,No,Staying,No
462,24,Male,Divorced,Finance,Director,Associate,Human Resources,14,Travel Frequently,1,3,2,4,2,Yes,6,4,4,0,28,39046.59,High,No,Staying,Yes
463,49,Female,Single,Sales,Director,Bachelors,Medical,21,Travel Frequently,4,3,4,2,1,Yes,1,15,4,4,17,110287.3,High,No,Staying,No
464,29,Other,Married,Technology,Executive,Bachelors,Medical,5,Travel Rarely,4,3,3,1,4,Yes,2,28,14,3,5,139281.52,High,No,Staying,No
465,30,Other,Married,Technology,Manager,Associate,Life Sciences,30,Non-Travel,2,3,2,3,2,No,0,8,1,8,16,59426.29,Very High,No,Staying,No
466,39,Other,Married,Operations,Lead,Masters,Medical,52,Travel Rarely,3,2,4,1,1,No,8,8,8,8,19,98033.17,Low,No,Staying,No
467,38,Other,Single,Legal,Senior Analyst,PhD,Medical,59,Non-Travel,1,4,2,4,3,No,4,5,4,1,32,128420.35,Medium,No,Staying,Yes
468,53,Male,Married,Finance,Analyst,Bachelors,Marketing,14,Travel Frequently,3,2,2,2,1,Yes,3,15,8,0,32,126250.84,Very High,No,Staying,No
469,43,Female,Divorced,R&D,Director,Masters,Other,72,Non-Travel,3,2,4,2,4,Yes,4,4,4,4,31,35280.5,Very High,No,Staying,No
470,53,Male,Divorced,Human Resources,Specialist,PhD,Human Resources,67,Non-Travel,2,4,1,2,4,No,2,3,3,1,11,61190.4,High,No,Staying,No
471,40,Male,Married,Operations,Associate,PhD,Business Management,75,Travel Frequently,1,4,1,1,4,No,5,9,9,8,4,148553.48,Very High,Yes,Leaving,Yes
472,45,Other,Married,R&D,Associate,PhD,Life Sciences,36,Non-Travel,1,2,3,1,1,Yes,2,8,8,2,11,136713.25,Very High,No,Staying,Yes
473,52,Female,Married,Sales,Manager,Associate,Technical Degree,68,Non-Travel,3,3,3,2,1,Yes,4,3,3,3,4,148273.72,Medium,Yes,Leaving,Yes
474,41,Male,Divorced,R&D,Specialist,High School,Life Sciences,44,Travel Rarely,4,4,1,3,2,No,6,11,3,7,19,41371.72,Medium,Yes,Leaving,No
475,39,Other,Divorced,Operations,Specialist,Bachelors,Life Sciences,3,Travel Rarely,1,4,3,3,2,No,8,29,12,3,16,77220.9,High,No,Staying,No
476,26,Male,Married,Sales,Analyst,PhD,Technical Degree,78,Travel Frequently,1,4,3,3,4,No,1,12,4,7,15,131782.27,Very High,No,Staying,Yes
477,40,Male,Single,Finance,Senior Analyst,PhD,Business Management,36,Travel Frequently,1,3,3,2,2,No,4,26,9,8,38,92719.21,Medium,No,Staying,Yes
478,43,Female,Married,Legal,Director,Bachelors,Medical,55,Travel Rarely,3,1,1,2,1,No,8,17,5,3,40,51948.79,Medium,No,Staying,Yes
479,46,Other,Married,Legal,Manager,Bachelors,Technical Degree,74,Travel Rarely,1,3,3,3,4,No,1,26,14,8,12,30356.73,High,No,Staying,Yes
480,37,Female,Married,Sales,Manager,High School,Human Resources,63,Non-Travel,1,2,2,1,2,Yes,5,2,2,2,9,59508.06,Medium,No,Staying,No
481,36,Female,Married,Marketing,Executive,Associate,Marketing,37,Travel Frequently,1,2,1,1,4,Yes,7,21,1,5,30,113044.98,High,No,Staying,Yes
482,58,Male,Divorced,Sales,Specialist,Associate,Marketing,47,Travel Rarely,3,1,3,4,4,No,3,13,9,4,36,71711.54,High,No,Staying,No
483,36,Female,Divorced,Operations,Director,Associate,Marketing,24,Non-Travel,3,2,1,3,1,Yes,4,8,3,0,6,72053.42,Medium,No,Staying,No
484,59,Male,Single,Operations,Manager,Associate,Business Management,23,Non-Travel,1,1,4,2,3,Yes,0,5,0,5,14,141680.02,High,No,Staying,No
485,36,Female,Divorced,R&D,Specialist,Associate,Life Sciences,19,Non-Travel,2,4,2,4,3,Yes,3,28,7,8,26,124985.04,High,Yes,Leaving,No
486,46,Other,Divorced,Human Resources,Analyst,PhD,Human Resources,34,Travel Frequently,2,3,3,3,3,No,4,13,2,7,37,132351.19,Medium,No,Staying,No
487,31,Female,Married,Technology,Director,Associate,Life Sciences,15,Travel Rarely,3,4,3,1,1,No,6,5,2,5,11,53921.76,Medium,No,Staying,Yes
488,38,Male,Divorced,Technology,Director,Masters,Medical,26,Travel Frequently,2,4,4,2,1,Yes,3,2,2,2,12,123546.26,Very High,No,Staying,No
489,43,Female,Divorced,Marketing,Associate,Bachelors,Technical Degree,38,Travel Rarely,4,1,2,1,1,Yes,7,9,5,5,14,48889.32,Very High,Yes,Leaving,No
490,39,Female,Single,Marketing,Junior Associate,PhD,Other,43,Travel Frequently,3,1,3,1,2,Yes,0,15,4,7,7,142878.5,Medium,Yes,Leaving,No
491,60,Other,Single,Marketing,Junior Associate,PhD,Medical,2,Travel Rarely,4,4,1,1,4,Yes,4,17,6,5,7,128570.24,Low,No,Staying,No
492,47,Other,Divorced,Finance,Lead,Associate,Life Sciences,18,Travel Rarely,3,2,1,4,3,Yes,8,16,12,5,27,39400.08,Medium,No,Staying,No
493,43,Male,Single,Sales,Manager,Masters,Medical,39,Travel Frequently,4,4,3,4,2,Yes,7,28,3,6,20,48148.38,Very High,Yes,Leaving,Yes
494,46,Other,Single,Sales,Director,Associate,Life Sciences,20,Non-Travel,2,3,4,3,1,Yes,7,11,6,4,38,137264.04,Low,Yes,Leaving,Yes
495,60,Male,Divorced,Marketing,Associate,Masters,Life Sciences,32,Travel Frequently,4,4,1,2,2,Yes,2,5,1,5,13,113826.57,Medium,No,Staying,No
496,29,Other,Married,Marketing,Senior Analyst,PhD,Life Sciences,30,Non-Travel,4,1,1,1,2,Yes,6,3,3,0,22,114623.61,Low,No,Staying,Yes
497,26,Male,Divorced,Finance,Senior Analyst,PhD,Other,19,Travel Rarely,1,1,2,4,4,Yes,2,7,0,5,15,82111.27,High,No,Staying,Yes
498,31,Male,Divorced,Finance,Director,High School,Marketing,68,Non-Travel,1,2,2,1,4,No,8,18,6,6,21,69511.49,High,No,Staying,No
499,46,Female,Divorced,Marketing,VP,High School,Human Resources,54,Non-Travel,4,2,1,2,1,No,4,12,2,1,35,115650.15,High,No,Staying,Yes
500,44,Other,Single,Sales,Director,Bachelors,Other,30,Travel Frequently,2,3,4,2,3,No,0,8,8,1,3,34964.07,Medium,No,Staying,Yes
501,41,Other,Married,Legal,Associate,PhD,Human Resources,48,Travel Rarely,1,4,4,4,4,No,5,17,15,7,14,146063.46,Medium,No,Staying,No
502,41,Other,Married,Finance,Director,Associate,Other,22,Non-Travel,2,3,3,2,3,No,3,6,6,6,13,111596.18,Very High,No,Staying,No
503,30,Other,Single,Finance,Specialist,Associate,Other,37,Non-Travel,1,2,4,2,4,Yes,1,5,5,5,26,134186.2,Very High,No,Staying,No
504,22,Other,Divorced,R&D,Junior Associate,PhD,Human Resources,78,Travel Rarely,2,2,2,1,4,Yes,3,12,2,1,33,64117.2,Medium,No,Staying,No
505,36,Female,Divorced,R&D,Manager,Associate,Medical,61,Travel Rarely,1,4,2,3,4,No,1,23,15,2,19,49244.49,Very High,No,Staying,No
506,51,Male,Divorced,Sales,Associate,Masters,Other,32,Travel Frequently,2,2,2,4,2,No,5,17,9,5,25,117578.1,High,No,Staying,No
507,53,Female,Married,Technology,Manager,PhD,Life Sciences,30,Non-Travel,2,3,2,2,2,No,1,0,0,0,7,67707.3,Low,Yes,Leaving,No
508,43,Male,Divorced,Technology,Manager,PhD,Business Management,23,Non-Travel,2,4,1,3,3,Yes,3,9,9,2,19,111640.04,High,No,Staying,No
509,54,Male,Single,R&D,Lead,Masters,Medical,38,Non-Travel,1,1,4,2,4,Yes,2,25,14,4,22,146381.5,Medium,Yes,Leaving,No
510,32,Male,Single,Human Resources,Senior Analyst,PhD,Human Resources,55,Non-Travel,3,2,1,3,3,No,3,27,5,2,4,138653.67,High,No,Staying,Yes
511,34,Male,Single,Legal,Analyst,Associate,Marketing,47,Travel Rarely,4,3,2,2,2,Yes,2,7,4,2,39,104406.28,Very High,No,Staying,No
512,37,Male,Divorced,Legal,Analyst,High School,Other,67,Non-Travel,2,4,1,2,1,No,3,1,1,1,30,96882.04,Very High,No,Staying,Yes
513,31,Female,Single,Human Resources,Lead,Associate,Business Management,13,Travel Rarely,2,3,1,1,1,No,2,8,6,3,14,135370.22,Medium,No,Staying,Yes
514,58,Male,Divorced,Finance,Lead,Associate,Technical Degree,28,Travel Frequently,4,2,2,2,1,No,4,21,13,6,23,80209.85,Low,No,Staying,No
515,25,Male,Divorced,Human Resources,Junior Associate,Masters,Marketing,7,Travel Rarely,3,1,1,3,2,Yes,7,4,4,2,21,51543.28,Very High,No,Staying,No
516,53,Other,Divorced,R&D,Junior Associate,Bachelors,Other,56,Travel Rarely,3,1,3,4,2,Yes,4,4,4,1,24,80669.91,Medium,No,Staying,No
517,23,Other,Divorced,Operations,Executive,Associate,Technical Degree,68,Travel Frequently,4,1,2,1,4,Yes,2,8,8,4,3,45459.37,High,No,Staying,Yes
518,40,Female,Married,Operations,VP,High School,Business Management,32,Non-Travel,3,2,1,2,1,No,0,18,8,4,16,81992.28,High,No,Staying,No
519,43,Male,Single,Operations,Junior Associate,PhD,Business Management,43,Non-Travel,1,4,3,3,3,Yes,7,28,10,0,31,47970.66,Very High,No,Staying,Yes
520,24,Other,Single,Legal,Analyst,High School,Other,62,Non-Travel,4,1,4,2,3,No,8,27,2,6,37,70460.57,Very High,Yes,Leaving,No
521,23,Other,Divorced,Technology,Specialist,Masters,Human Resources,35,Travel Rarely,2,4,3,4,4,No,1,26,0,5,33,30165.93,High,No,Staying,Yes
522,50,Male,Single,R&D,Manager,Masters,Business Management,68,Travel Rarely,2,3,1,1,2,No,0,15,3,8,14,79938.98,High,Yes,Leaving,Yes
523,42,Male,Single,Legal,Associate,High School,Medical,73,Travel Frequently,2,2,2,1,1,Yes,7,23,3,6,11,127389.68,Low,No,Staying,Yes
524,57,Other,Married,Technology,Manager,Bachelors,Human Resources,56,Travel Frequently,3,3,3,4,3,Yes,5,17,5,7,21,55989.03,Very High,Yes,Leaving,No
525,52,Other,Single,Marketing,Senior Analyst,Bachelors,Human Resources,4,Travel Rarely,3,4,4,2,1,Yes,1,18,3,4,12,145892.88,Low,Yes,Leaving,No
526,60,Male,Single,Human Resources,Analyst,Bachelors,Life Sciences,37,Travel Frequently,1,1,1,4,1,Yes,1,18,7,3,8,115179.82,High,No,Staying,No
527,32,Other,Divorced,Technology,Senior Analyst,Masters,Human Resources,15,Travel Frequently,2,3,1,1,1,No,5,2,2,2,9,61803.07,High,No,Staying,No
528,27,Male,Single,Legal,Specialist,High School,Life Sciences,65,Travel Rarely,3,2,1,1,4,No,8,19,0,2,29,59613.36,Medium,Yes,Leaving,No
529,30,Male,Married,Sales,Junior Associate,Masters,Technical Degree,43,Travel Frequently,2,1,4,4,1,Yes,5,27,5,6,1,42573.37,Low,Yes,Leaving,Yes
530,58,Other,Divorced,Finance,Executive,Bachelors,Technical Degree,61,Travel Frequently,4,2,4,1,2,No,0,23,7,5,2,86189.71,Medium,No,Staying,No
531,49,Male,Married,R&D,Specialist,PhD,Technical Degree,70,Travel Frequently,3,2,4,2,4,No,8,28,7,1,26,88442.21,High,No,Staying,No
532,60,Male,Divorced,Sales,Lead,High School,Business Management,13,Travel Rarely,2,1,4,4,1,No,7,2,2,1,27,48494.85,High,Yes,Leaving,No
533,39,Other,Married,Technology,Analyst,Bachelors,Medical,74,Travel Rarely,4,2,2,1,2,Yes,0,17,5,3,35,93221.77,High,No,Staying,No
534,38,Male,Single,Marketing,Director,High School,Business Management,12,Travel Rarely,1,2,4,1,1,No,6,10,1,0,26,84289.09,High,No,Staying,No
535,45,Female,Divorced,Human Resources,Associate,Associate,Business Management,38,Non-Travel,3,2,2,2,3,Yes,3,11,9,2,8,64940.19,Very High,Yes,Leaving,No
536,33,Male,Single,Marketing,Specialist,Bachelors,Marketing,14,Travel Frequently,3,4,1,4,4,No,2,26,14,6,9,113293.14,High,No,Staying,No
537,52,Female,Single,Human Resources,Associate,Bachelors,Other,60,Non-Travel,3,4,4,4,1,Yes,3,25,12,1,40,81120.65,Very High,No,Staying,No
538,31,Other,Single,Human Resources,Specialist,PhD,Marketing,42,Travel Frequently,2,3,1,2,4,No,6,12,11,5,22,118036.25,Low,No,Staying,No
539,30,Male,Single,Marketing,Specialist,High School,Technical Degree,54,Travel Rarely,4,2,4,1,2,No,1,5,5,5,23,38905.88,Medium,No,Staying,No
540,50,Male,Single,Human Resources,Senior Analyst,High School,Business Management,65,Non-Travel,1,1,2,1,4,Yes,6,23,4,2,36,98760.61,Very High,No,Staying,Yes
541,42,Male,Single,Finance,Director,High School,Human Resources,32,Non-Travel,2,3,2,3,1,No,6,25,15,2,32,133570.98,Very High,No,Staying,No
542,40,Other,Single,Human Resources,Manager,Masters,Human Resources,40,Travel Frequently,4,4,4,1,4,No,1,18,5,8,1,128374.03,Medium,Yes,Leaving,No
543,59,Male,Divorced,Sales,Specialist,Bachelors,Human Resources,62,Travel Frequently,4,3,3,2,1,No,5,20,6,8,28,124728.44,High,No,Staying,No
544,53,Other,Divorced,R&D,Senior Analyst,Bachelors,Other,17,Travel Frequently,1,1,2,2,2,No,1,8,8,6,21,146196.52,Medium,No,Staying,No
545,54,Male,Divorced,Finance,Associate,Associate,Medical,17,Travel Frequently,1,3,2,1,1,No,0,9,7,5,22,59899.34,High,No,Staying,No
546,47,Female,Divorced,Operations,Executive,High School,Other,74,Travel Frequently,4,2,3,1,2,No,4,11,11,4,12,87740.39,Very High,No,Staying,Yes
547,26,Female,Divorced,Operations,Junior Associate,PhD,Medical,55,Non-Travel,2,1,4,2,3,Yes,6,19,2,1,37,88183.71,Medium,No,Staying,No
548,45,Other,Single,Sales,Lead,PhD,Marketing,2,Non-Travel,3,2,2,2,2,Yes,6,13,3,8,1,78243.84,Low,No,Staying,No
