order_id,customer_id,order_datetime,zone,category,product_name,sku,order_qty,unit_price,total_amount,delivery_fee,discount,payment_method,estimated_delivery_min,actual_delivery_min,delivery_status,order_source,store_name
328,CUST0328,2025-02-01 21:51:48,Zone-A,Baby Care,Green,SKU00328,10,321.71,3217.1,4.81,0.11,Blinkit Wallet,9,21,Delivered,App,Blinkit Store #5
329,CUST0329,2025-03-27 07:45:15,Zone-A,Dairy,West,SKU00329,8,463.99,3711.92,10.19,0.01,Blinkit Wallet,18,26,Delivered,App,Blinkit Store #1
330,CUST0330,2025-06-12 15:53:24,Zone-B,Household,Money,SKU00330,2,691.07,1382.14,17.99,0.24,UPI,28,29,Delivered,WhatsApp,Blinkit Store #3
331,CUST0331,2025-02-11 13:39:34,Zone-B,Personal Care,Oil,SKU00331,2,131.5,263.0,38.79,0.07,UPI,15,15,Delivered,WhatsApp,Blinkit Store #5
332,CUST0332,2025-01-02 05:13:44,Zone-B,Beverages,Exist,SKU00332,1,683.65,683.65,0.62,0.05,UPI,15,11,Delivered,Web,Blinkit Store #5
333,CUST0333,2025-01-09 01:33:49,Zone-D,Pet Supplies,Information,SKU00333,2,467.91,935.82,15.56,0.12,Credit Card,13,29,Delivered,Web,Blinkit Store #5
334,CUST0334,2025-03-20 11:03:48,Zone-D,Snacks,Agent,SKU00334,13,753.1,9790.3,23.72,0.2,UPI,13,20,Delivered,Web,Blinkit Store #6
335,CUST0335,2025-02-07 02:13:08,Zone-A,Snacks,Especially,SKU00335,15,692.03,10380.45,31.77,0.18,Blinkit Wallet,24,26,Delivered,Web,Blinkit Store #4
336,CUST0336,2025-06-20 09:40:15,Zone-C,Household,Like,SKU00336,6,448.61,2691.66,26.04,0.1,Net Banking,25,27,Delivered,Web,Blinkit Store #5
337,CUST0337,2025-05-18 08:02:54,Zone-D,Snacks,Wife,SKU00337,8,304.82,2438.56,3.36,0.25,Credit Card,24,35,Delayed,WhatsApp,Blinkit Store #2
338,CUST0338,2025-04-08 05:09:21,Zone-D,Household,Girl,SKU00338,3,576.65,1729.95,2.25,0.01,COD,19,27,Delivered,App,Blinkit Store #2
339,CUST0339,2025-06-15 08:50:01,Zone-B,Beverages,Everybody,SKU00339,11,136.02,1496.22,42.92,0.03,Net Banking,18,18,Delivered,App,Blinkit Store #3
340,CUST0340,2025-04-21 02:51:42,Zone-E,Pet Supplies,Indeed,SKU00340,11,376.35,4139.85,14.66,0.22,Net Banking,12,31,Delivered,WhatsApp,Blinkit Store #6
341,CUST0341,2025-05-25 21:48:43,Zone-B,Groceries,Civil,SKU00341,12,661.94,7943.28,47.8,0.17,UPI,24,37,Delivered,Web,Blinkit Store #6
342,CUST0342,2025-03-29 10:12:42,Zone-C,Dairy,Improve,SKU00342,9,539.86,4858.74,24.68,0.13,Blinkit Wallet,9,10,Delivered,Web,Blinkit Store #4
343,CUST0343,2025-01-17 10:33:19,Zone-A,Baby Care,Step,SKU00343,9,661.67,5955.03,35.18,0.12,Net Banking,23,42,Delivered,Web,Blinkit Store #1
344,CUST0344,2025-05-06 21:16:51,Zone-A,Beverages,Level,SKU00344,5,130.88,654.4,19.19,0.18,Net Banking,8,14,Delivered,Web,Blinkit Store #2
345,CUST0345,2025-02-14 18:29:47,Zone-C,Personal Care,Seat,SKU00345,3,199.71,599.13,34.88,0.17,Credit Card,9,4,Delivered,App,Blinkit Store #6
346,CUST0346,2025-04-10 09:00:08,Zone-B,Beverages,Health,SKU00346,12,223.7,2684.4,24.87,0.1,COD,16,35,Cancelled,App,Blinkit Store #5
347,CUST0347,2025-01-08 20:13:14,Zone-B,Household,Billion,SKU00347,4,515.01,2060.04,5.79,0.07,Credit Card,9,8,Delivered,Web,Blinkit Store #6
348,CUST0348,2025-04-12 09:48:52,Zone-B,Pet Supplies,Coach,SKU00348,3,614.87,1844.61,34.26,0.17,COD,17,20,Delivered,WhatsApp,Blinkit Store #6
349,CUST0349,2025-01-25 02:11:44,Zone-B,Beverages,Avoid,SKU00349,7,81.14,567.98,40.27,0.01,Blinkit Wallet,27,43,Delayed,WhatsApp,Blinkit Store #5
350,CUST0350,2025-05-23 07:58:15,Zone-E,Pet Supplies,Relate,SKU00350,4,64.22,256.88,40.79,0.14,Credit Card,17,27,Delivered,App,Blinkit Store #4
351,CUST0351,2025-01-07 17:41:19,Zone-E,Groceries,Walk,SKU00351,9,124.69,1122.21,10.32,0.07,UPI,5,22,Delivered,Web,Blinkit Store #6
352,CUST0352,2025-05-23 04:26:00,Zone-A,Dairy,Ready,SKU00352,6,564.22,3385.32,9.83,0.17,Debit Card,30,31,Delayed,Web,Blinkit Store #2
353,CUST0353,2025-05-04 16:40:28,Zone-B,Household,Across,SKU00353,12,245.43,2945.16,42.34,0.13,Blinkit Wallet,9,6,Delivered,App,Blinkit Store #5
354,CUST0354,2025-04-19 14:59:54,Zone-C,Personal Care,Physical,SKU00354,8,441.15,3529.2,20.31,0.21,Net Banking,11,25,Delivered,App,Blinkit Store #6
355,CUST0355,2025-03-15 21:00:16,Zone-C,Pet Supplies,With,SKU00355,4,181.15,724.6,31.68,0.12,Net Banking,13,14,Delivered,WhatsApp,Blinkit Store #3
356,CUST0356,2025-04-18 22:48:16,Zone-A,Pet Supplies,General,SKU00356,6,249.13,1494.78,31.62,0.17,UPI,9,8,Delivered,App,Blinkit Store #4
357,CUST0357,2025-02-21 22:59:24,Zone-D,Snacks,Become,SKU00357,4,366.48,1465.92,41.98,0.18,COD,12,32,Delivered,WhatsApp,Blinkit Store #1
358,CUST0358,2025-04-03 08:57:04,Zone-C,Beverages,Program,SKU00358,4,567.6,2270.4,36.18,0.17,Net Banking,25,22,Delivered,WhatsApp,Blinkit Store #2
359,CUST0359,2025-06-26 10:37:49,Zone-B,Household,Democrat,SKU00359,13,102.75,1335.75,24.2,0.04,COD,29,42,Delayed,Web,Blinkit Store #2
360,CUST0360,2025-01-21 01:14:23,Zone-A,Dairy,Whole,SKU00360,10,114.7,1147.0,27.74,0.01,COD,21,18,Delivered,App,Blinkit Store #4
361,CUST0361,2025-05-12 02:42:54,Zone-A,Personal Care,On,SKU00361,11,648.03,7128.33,42.17,0.24,COD,14,33,Delayed,Web,Blinkit Store #2
362,CUST0362,2025-06-09 01:18:59,Zone-A,Household,Next,SKU00362,9,737.5,6637.5,14.59,0.12,Credit Card,6,5,Delivered,WhatsApp,Blinkit Store #4
363,CUST0363,2025-03-02 09:22:59,Zone-B,Household,Body,SKU00363,5,27.05,135.25,36.13,0.18,Blinkit Wallet,6,4,Delivered,WhatsApp,Blinkit Store #2
364,CUST0364,2025-06-18 20:32:24,Zone-B,Snacks,Home,SKU00364,12,157.27,1887.24,42.58,0.08,Net Banking,27,27,Delivered,Web,Blinkit Store #4
365,CUST0365,2025-04-22 19:05:24,Zone-E,Baby Care,Food,SKU00365,9,435.88,3922.92,26.66,0.25,Net Banking,28,46,Delayed,WhatsApp,Blinkit Store #6
366,CUST0366,2025-01-02 07:25:32,Zone-B,Dairy,Table,SKU00366,12,177.33,2127.96,22.45,0.18,Debit Card,29,26,Delivered,App,Blinkit Store #3
367,CUST0367,2025-05-04 19:34:20,Zone-D,Snacks,Law,SKU00367,14,243.52,3409.28,1.18,0.22,Credit Card,22,18,Delivered,Web,Blinkit Store #5
368,CUST0368,2025-03-18 16:30:12,Zone-C,Personal Care,Environmental,SKU00368,10,724.15,7241.5,5.31,0.17,Debit Card,8,27,Delivered,Web,Blinkit Store #6
369,CUST0369,2025-02-17 18:50:53,Zone-D,Snacks,Six,SKU00369,3,306.38,919.14,26.83,0.01,Debit Card,5,3,Delivered,Web,Blinkit Store #1
370,CUST0370,2025-04-01 05:02:14,Zone-D,Dairy,Common,SKU00370,5,662.94,3314.7,46.49,0.11,COD,9,17,Delivered,App,Blinkit Store #6
371,CUST0371,2025-05-20 04:05:41,Zone-D,Baby Care,Drive,SKU00371,5,587.44,2937.2,23.09,0.13,Credit Card,7,7,Delivered,Web,Blinkit Store #2
372,CUST0372,2025-02-21 00:51:18,Zone-E,Personal Care,Friend,SKU00372,2,167.31,334.62,36.42,0.24,Credit Card,28,28,Delivered,WhatsApp,Blinkit Store #5
373,CUST0373,2025-02-01 01:11:30,Zone-A,Pet Supplies,Bed,SKU00373,15,133.41,2001.15,23.74,0.2,COD,8,6,Delivered,Web,Blinkit Store #5
374,CUST0374,2025-03-08 02:38:22,Zone-C,Pet Supplies,Successful,SKU00374,1,531.14,531.14,10.41,0.02,Debit Card,21,40,Delayed,App,Blinkit Store #5
375,CUST0375,2025-02-18 06:32:14,Zone-B,Snacks,Expect,SKU00375,12,468.13,5617.56,37.6,0.18,Net Banking,21,18,Delivered,WhatsApp,Blinkit Store #1
376,CUST0376,2025-02-06 10:45:52,Zone-C,Beverages,Apply,SKU00376,10,48.38,483.8,35.68,0.0,Net Banking,8,15,Delivered,WhatsApp,Blinkit Store #6
377,CUST0377,2025-05-04 10:19:32,Zone-C,Baby Care,Improve,SKU00377,4,30.87,123.48,35.36,0.06,UPI,14,11,Delivered,Web,Blinkit Store #6
378,CUST0378,2025-06-13 14:48:40,Zone-A,Beverages,Country,SKU00378,3,225.9,677.7,15.19,0.11,Net Banking,10,19,Delivered,Web,Blinkit Store #4
379,CUST0379,2025-05-24 21:49:06,Zone-B,Beverages,Listen,SKU00379,9,373.23,3359.07,40.68,0.17,Net Banking,30,25,Delivered,WhatsApp,Blinkit Store #2
380,CUST0380,2025-02-13 05:24:21,Zone-C,Personal Care,Side,SKU00380,4,272.43,1089.72,16.39,0.16,Net Banking,16,28,Delivered,App,Blinkit Store #5
381,CUST0381,2025-05-27 17:58:30,Zone-E,Pet Supplies,Occur,SKU00381,2,217.66,435.32,13.32,0.22,Debit Card,22,21,Delivered,Web,Blinkit Store #2
382,CUST0382,2025-05-26 02:40:24,Zone-D,Household,Environmental,SKU00382,9,51.39,462.51,9.37,0.04,Blinkit Wallet,15,33,Cancelled,Web,Blinkit Store #3
383,CUST0383,2025-05-20 11:15:38,Zone-C,Beverages,Capital,SKU00383,15,761.71,11425.65,30.03,0.14,COD,8,22,Delivered,WhatsApp,Blinkit Store #3
384,CUST0384,2025-02-26 23:30:29,Zone-B,Pet Supplies,Beautiful,SKU00384,5,78.77,393.85,14.57,0.01,Blinkit Wallet,29,43,Delayed,Web,Blinkit Store #5
385,CUST0385,2025-01-06 05:02:30,Zone-A,Dairy,Someone,SKU00385,3,39.66,118.98,37.01,0.25,UPI,14,11,Delivered,WhatsApp,Blinkit Store #4
386,CUST0386,2025-06-10 03:16:21,Zone-E,Dairy,Expect,SKU00386,2,30.84,61.68,1.09,0.22,Credit Card,28,32,Delivered,App,Blinkit Store #6
387,CUST0387,2025-01-22 17:42:13,Zone-A,Household,Would,SKU00387,15,246.07,3691.05,30.57,0.17,COD,15,34,Cancelled,App,Blinkit Store #1
388,CUST0388,2025-06-07 07:56:04,Zone-D,Pet Supplies,Up,SKU00388,1,747.71,747.71,23.04,0.22,Debit Card,5,7,Delivered,App,Blinkit Store #6
389,CUST0389,2025-03-31 08:22:01,Zone-B,Dairy,Adult,SKU00389,6,151.77,910.62,10.0,0.05,Debit Card,10,24,Delivered,WhatsApp,Blinkit Store #6
390,CUST0390,2025-03-01 18:15:09,Zone-B,Dairy,Protect,SKU00390,13,556.44,7233.72,36.19,0.21,UPI,22,19,Delivered,App,Blinkit Store #3
391,CUST0391,2025-03-18 18:41:59,Zone-D,Groceries,Avoid,SKU00391,4,197.2,788.8,46.41,0.21,Debit Card,18,34,Delayed,Web,Blinkit Store #5
392,CUST0392,2025-04-18 10:31:18,Zone-D,Pet Supplies,Though,SKU00392,12,53.2,638.4,38.31,0.22,Net Banking,25,31,Delayed,App,Blinkit Store #1
393,CUST0393,2025-01-02 18:30:29,Zone-D,Dairy,Me,SKU00393,10,168.57,1685.7,2.42,0.17,UPI,17,19,Delivered,App,Blinkit Store #6
394,CUST0394,2025-04-12 07:50:07,Zone-A,Beverages,New,SKU00394,8,578.23,4625.84,43.81,0.05,UPI,30,27,Delivered,App,Blinkit Store #4
395,CUST0395,2025-02-21 16:06:02,Zone-A,Groceries,Prepare,SKU00395,6,286.23,1717.38,5.51,0.24,Blinkit Wallet,27,40,Cancelled,Web,Blinkit Store #5
396,CUST0396,2025-03-29 00:24:35,Zone-B,Snacks,Market,SKU00396,11,593.45,6527.95,2.68,0.16,Debit Card,6,15,Delivered,WhatsApp,Blinkit Store #2
397,CUST0397,2025-02-10 12:05:57,Zone-D,Groceries,Couple,SKU00397,2,140.73,281.46,7.5,0.21,Debit Card,9,6,Delivered,App,Blinkit Store #6
398,CUST0398,2025-05-11 19:51:26,Zone-B,Personal Care,Important,SKU00398,2,245.12,490.24,45.36,0.21,Net Banking,14,9,Delivered,WhatsApp,Blinkit Store #4
399,CUST0399,2025-05-25 22:49:25,Zone-D,Dairy,Range,SKU00399,14,409.68,5735.52,21.64,0.16,COD,6,1,Delivered,App,Blinkit Store #5
400,CUST0400,2025-05-16 18:21:32,Zone-D,Beverages,Which,SKU00400,5,122.49,612.45,8.24,0.09,Debit Card,7,12,Delivered,WhatsApp,Blinkit Store #5
401,CUST0401,2025-03-31 11:05:10,Zone-A,Pet Supplies,Low,SKU00401,3,510.66,1531.98,11.91,0.21,UPI,9,13,Delivered,WhatsApp,Blinkit Store #3
402,CUST0402,2025-03-31 06:37:50,Zone-B,Pet Supplies,Return,SKU00402,13,777.1,10102.3,14.74,0.16,Net Banking,8,18,Delivered,WhatsApp,Blinkit Store #5
403,CUST0403,2025-06-28 06:24:21,Zone-D,Groceries,We,SKU00403,3,126.93,380.79,42.34,0.2,Blinkit Wallet,21,39,Delayed,Web,Blinkit Store #4
404,CUST0404,2025-03-27 18:00:39,Zone-A,Baby Care,Total,SKU00404,13,481.28,6256.64,11.68,0.1,Blinkit Wallet,6,21,Delivered,Web,Blinkit Store #6
405,CUST0405,2025-05-18 05:38:47,Zone-C,Groceries,Reduce,SKU00405,4,17.59,70.36,42.82,0.02,Credit Card,19,25,Delivered,WhatsApp,Blinkit Store #4
406,CUST0406,2025-02-16 20:01:42,Zone-D,Snacks,Person,SKU00406,9,210.87,1897.83,2.03,0.08,Blinkit Wallet,29,43,Cancelled,App,Blinkit Store #3
407,CUST0407,2025-01-13 23:12:15,Zone-D,Beverages,Film,SKU00407,3,245.94,737.82,43.83,0.21,COD,24,25,Delivered,App,Blinkit Store #2
408,CUST0408,2025-02-14 10:34:20,Zone-E,Snacks,Although,SKU00408,15,661.16,9917.4,9.44,0.07,Net Banking,27,23,Delivered,WhatsApp,Blinkit Store #3
409,CUST0409,2025-03-03 20:36:52,Zone-D,Dairy,Address,SKU00409,9,230.91,2078.19,29.05,0.21,Net Banking,13,14,Delivered,WhatsApp,Blinkit Store #1
410,CUST0410,2025-03-22 18:22:15,Zone-A,Snacks,Buy,SKU00410,6,73.22,439.32,27.37,0.22,Blinkit Wallet,14,27,Delivered,App,Blinkit Store #3
411,CUST0411,2025-04-29 11:47:21,Zone-E,Snacks,Practice,SKU00411,10,241.39,2413.9,46.38,0.09,Net Banking,12,17,Delivered,Web,Blinkit Store #3
412,CUST0412,2025-01-29 01:40:48,Zone-B,Groceries,Capital,SKU00412,7,530.55,3713.85,40.67,0.02,Blinkit Wallet,10,26,Delivered,App,Blinkit Store #3
413,CUST0413,2025-01-15 05:15:57,Zone-B,Baby Care,Help,SKU00413,1,595.81,595.81,11.47,0.06,COD,11,18,Delivered,WhatsApp,Blinkit Store #2
414,CUST0414,2025-06-26 15:11:31,Zone-B,Baby Care,Break,SKU00414,5,34.23,171.15,26.35,0.24,Blinkit Wallet,26,38,Cancelled,App,Blinkit Store #4
415,CUST0415,2025-03-06 06:17:34,Zone-A,Dairy,Total,SKU00415,14,472.17,6610.38,16.55,0.11,Debit Card,25,44,Delayed,App,Blinkit Store #6
416,CUST0416,2025-06-24 13:13:34,Zone-D,Baby Care,Top,SKU00416,10,215.41,2154.1,44.52,0.18,Blinkit Wallet,14,21,Delivered,WhatsApp,Blinkit Store #4
417,CUST0417,2025-01-26 12:38:30,Zone-D,Dairy,Us,SKU00417,7,702.52,4917.64,31.34,0.07,Debit Card,26,28,Delivered,Web,Blinkit Store #5
418,CUST0418,2025-01-13 16:50:26,Zone-A,Personal Care,Statement,SKU00418,5,65.42,327.1,24.96,0.02,COD,24,28,Delivered,Web,Blinkit Store #5
419,CUST0419,2025-04-04 13:29:23,Zone-A,Dairy,Billion,SKU00419,12,447.28,5367.36,10.63,0.08,UPI,17,28,Delivered,App,Blinkit Store #5
420,CUST0420,2025-05-07 19:49:53,Zone-B,Personal Care,Approach,SKU00420,1,642.92,642.92,33.93,0.18,Debit Card,5,10,Delivered,Web,Blinkit Store #5
421,CUST0421,2025-02-04 08:16:46,Zone-A,Baby Care,Matter,SKU00421,3,335.87,1007.61,46.5,0.02,Blinkit Wallet,15,29,Delivered,Web,Blinkit Store #2
422,CUST0422,2025-01-04 13:22:06,Zone-B,Pet Supplies,Out,SKU00422,15,576.06,8640.9,38.57,0.21,Debit Card,19,25,Delivered,WhatsApp,Blinkit Store #2
423,CUST0423,2025-05-24 21:19:38,Zone-A,Groceries,Religious,SKU00423,1,224.56,224.56,5.79,0.03,COD,23,35,Delivered,App,Blinkit Store #6
424,CUST0424,2025-05-01 10:49:11,Zone-A,Baby Care,Increase,SKU00424,7,569.24,3984.68,0.58,0.1,Net Banking,17,29,Delivered,WhatsApp,Blinkit Store #5
425,CUST0425,2025-04-22 07:08:38,Zone-D,Pet Supplies,Year,SKU00425,5,416.16,2080.8,42.3,0.0,Net Banking,11,12,Delivered,Web,Blinkit Store #6
426,CUST0426,2025-04-09 07:51:03,Zone-E,Household,Put,SKU00426,1,602.02,602.02,28.42,0.04,Debit Card,17,37,Delayed,WhatsApp,Blinkit Store #3
427,CUST0427,2025-02-02 08:59:36,Zone-A,Dairy,Include,SKU00427,4,664.58,2658.32,6.68,0.1,Credit Card,9,16,Delivered,App,Blinkit Store #3
428,CUST0428,2025-04-27 12:57:38,Zone-A,Baby Care,Leg,SKU00428,4,47.69,190.76,6.42,0.17,Blinkit Wallet,27,43,Delayed,WhatsApp,Blinkit Store #6
429,CUST0429,2025-05-11 22:21:07,Zone-A,Beverages,Even,SKU00429,7,77.09,539.63,48.4,0.17,Debit Card,18,18,Delivered,WhatsApp,Blinkit Store #3
430,CUST0430,2025-02-17 09:51:41,Zone-D,Snacks,Major,SKU00430,6,330.59,1983.54,26.25,0.13,Net Banking,10,5,Delivered,App,Blinkit Store #4
431,CUST0431,2025-03-02 19:03:36,Zone-C,Personal Care,Possible,SKU00431,3,281.07,843.21,5.82,0.15,COD,24,40,Delivered,Web,Blinkit Store #4
432,CUST0432,2025-05-14 01:45:15,Zone-B,Groceries,Example,SKU00432,2,508.21,1016.42,35.57,0.04,Net Banking,29,34,Cancelled,WhatsApp,Blinkit Store #1
433,CUST0433,2025-01-27 08:45:47,Zone-D,Household,Effort,SKU00433,3,541.51,1624.53,30.07,0.15,Credit Card,21,31,Delivered,WhatsApp,Blinkit Store #3
434,CUST0434,2025-01-11 14:02:50,Zone-A,Baby Care,Material,SKU00434,14,254.43,3562.02,45.54,0.19,UPI,21,38,Delayed,App,Blinkit Store #4
435,CUST0435,2025-01-07 12:05:17,Zone-A,Household,Program,SKU00435,5,237.53,1187.65,25.19,0.13,Blinkit Wallet,29,44,Cancelled,WhatsApp,Blinkit Store #1
436,CUST0436,2025-04-19 19:10:40,Zone-D,Pet Supplies,Economic,SKU00436,14,289.66,4055.24,32.57,0.0,UPI,13,10,Delivered,Web,Blinkit Store #5
437,CUST0437,2025-06-27 03:15:51,Zone-C,Household,Ok,SKU00437,12,397.38,4768.56,39.01,0.21,Debit Card,21,33,Delayed,Web,Blinkit Store #1
438,CUST0438,2025-01-29 16:22:54,Zone-D,Personal Care,Standard,SKU00438,4,179.27,717.08,31.27,0.07,Credit Card,22,22,Delivered,Web,Blinkit Store #2
439,CUST0439,2025-05-17 04:15:54,Zone-A,Snacks,Glass,SKU00439,5,683.52,3417.6,12.4,0.25,UPI,8,22,Delivered,WhatsApp,Blinkit Store #5
440,CUST0440,2025-02-08 01:48:11,Zone-A,Personal Care,Difficult,SKU00440,9,34.01,306.09,33.54,0.16,Credit Card,12,26,Delivered,WhatsApp,Blinkit Store #2
441,CUST0441,2025-03-24 20:13:10,Zone-A,Household,Need,SKU00441,2,337.14,674.28,12.46,0.1,COD,26,32,Delayed,App,Blinkit Store #2
442,CUST0442,2025-01-10 14:45:48,Zone-D,Groceries,Coach,SKU00442,5,376.04,1880.2,40.94,0.22,Net Banking,8,5,Delivered,App,Blinkit Store #3
443,CUST0443,2025-01-09 23:02:24,Zone-B,Baby Care,Civil,SKU00443,9,306.58,2759.22,14.31,0.03,UPI,10,7,Delivered,Web,Blinkit Store #5
444,CUST0444,2025-05-25 15:15:19,Zone-D,Groceries,Way,SKU00444,7,574.25,4019.75,6.09,0.14,COD,27,28,Delivered,Web,Blinkit Store #4
445,CUST0445,2025-06-08 10:02:04,Zone-C,Dairy,Late,SKU00445,14,175.85,2461.9,29.02,0.22,Blinkit Wallet,5,1,Delivered,Web,Blinkit Store #3
446,CUST0446,2025-06-21 11:46:48,Zone-E,Baby Care,Tv,SKU00446,2,799.33,1598.66,18.81,0.04,UPI,27,22,Delivered,WhatsApp,Blinkit Store #1
447,CUST0447,2025-04-08 16:42:42,Zone-E,Dairy,Another,SKU00447,7,174.38,1220.66,29.8,0.25,Blinkit Wallet,10,13,Delivered,WhatsApp,Blinkit Store #6
448,CUST0448,2025-04-02 13:02:14,Zone-D,Pet Supplies,Camera,SKU00448,3,195.05,585.15,44.57,0.04,Debit Card,11,13,Delivered,App,Blinkit Store #2
449,CUST0449,2025-05-10 20:03:00,Zone-A,Dairy,Support,SKU00449,12,275.8,3309.6,0.8,0.07,COD,17,22,Delivered,WhatsApp,Blinkit Store #1
450,CUST0450,2025-01-24 12:08:43,Zone-B,Personal Care,Each,SKU00450,14,309.26,4329.64,48.45,0.19,Net Banking,10,25,Delivered,Web,Blinkit Store #4
451,CUST0451,2025-01-15 23:28:32,Zone-D,Snacks,Weight,SKU00451,12,489.69,5876.28,45.59,0.01,Debit Card,25,35,Delayed,Web,Blinkit Store #4
452,CUST0452,2025-03-03 05:14:15,Zone-A,Groceries,Player,SKU00452,6,549.77,3298.62,43.09,0.03,Blinkit Wallet,19,23,Delivered,WhatsApp,Blinkit Store #5
453,CUST0453,2025-01-02 11:46:50,Zone-B,Baby Care,Garden,SKU00453,6,13.47,80.82,39.74,0.12,UPI,12,12,Delivered,App,Blinkit Store #3
454,CUST0454,2025-03-27 09:02:07,Zone-B,Personal Care,Bring,SKU00454,5,396.61,1983.05,32.65,0.11,Blinkit Wallet,27,27,Delivered,Web,Blinkit Store #6
455,CUST0455,2025-02-24 10:06:24,Zone-A,Baby Care,Sport,SKU00455,15,568.63,8529.45,46.57,0.06,Net Banking,24,42,Delivered,WhatsApp,Blinkit Store #3
456,CUST0456,2025-02-14 14:40:47,Zone-E,Baby Care,Half,SKU00456,12,584.44,7013.28,43.02,0.14,Credit Card,11,24,Delivered,Web,Blinkit Store #4
457,CUST0457,2025-02-26 05:05:59,Zone-C,Beverages,Behind,SKU00457,6,797.77,4786.62,48.48,0.1,COD,21,34,Delivered,App,Blinkit Store #4
458,CUST0458,2025-03-28 07:22:48,Zone-D,Snacks,Perhaps,SKU00458,13,584.15,7593.95,15.32,0.21,UPI,12,30,Delivered,Web,Blinkit Store #6
459,CUST0459,2025-01-25 05:33:49,Zone-E,Baby Care,Major,SKU00459,6,183.9,1103.4,34.01,0.17,Credit Card,19,16,Delivered,App,Blinkit Store #5
460,CUST0460,2025-05-03 03:06:59,Zone-A,Personal Care,Style,SKU00460,7,376.22,2633.54,19.09,0.24,Net Banking,6,13,Delivered,WhatsApp,Blinkit Store #1
461,CUST0461,2025-06-14 20:15:42,Zone-B,Personal Care,Concern,SKU00461,5,646.54,3232.7,35.5,0.14,COD,15,18,Delivered,App,Blinkit Store #5
462,CUST0462,2025-03-26 05:00:42,Zone-A,Household,These,SKU00462,12,284.26,3411.12,39.98,0.17,Debit Card,12,11,Delivered,App,Blinkit Store #6
463,CUST0463,2025-06-02 22:14:10,Zone-C,Baby Care,Brother,SKU00463,10,740.59,7405.9,20.62,0.13,Credit Card,17,23,Delivered,WhatsApp,Blinkit Store #1
464,CUST0464,2025-03-02 07:44:16,Zone-A,Baby Care,Next,SKU00464,10,637.25,6372.5,8.61,0.18,Blinkit Wallet,6,12,Delivered,Web,Blinkit Store #5
465,CUST0465,2025-02-02 00:08:07,Zone-E,Snacks,Bed,SKU00465,3,755.12,2265.36,40.36,0.25,Blinkit Wallet,16,28,Delivered,App,Blinkit Store #1
466,CUST0466,2025-01-25 19:31:26,Zone-E,Dairy,Away,SKU00466,5,276.62,1383.1,37.67,0.03,Credit Card,27,31,Cancelled,WhatsApp,Blinkit Store #2
467,CUST0467,2025-02-17 20:15:31,Zone-E,Personal Care,Child,SKU00467,5,527.35,2636.75,21.53,0.2,UPI,7,18,Delivered,Web,Blinkit Store #5
468,CUST0468,2025-05-18 01:04:37,Zone-C,Snacks,Bill,SKU00468,1,663.0,663.0,46.25,0.01,COD,15,10,Delivered,Web,Blinkit Store #6
469,CUST0469,2025-04-11 12:00:52,Zone-C,Personal Care,Yet,SKU00469,3,730.5,2191.5,10.19,0.22,Credit Card,24,27,Delivered,App,Blinkit Store #6
470,CUST0470,2025-05-27 22:18:34,Zone-E,Pet Supplies,Bank,SKU00470,10,750.64,7506.4,45.63,0.06,UPI,8,5,Delivered,Web,Blinkit Store #6
471,CUST0471,2025-06-24 00:51:34,Zone-E,Baby Care,Key,SKU00471,15,550.39,8255.85,21.55,0.08,Blinkit Wallet,23,24,Delivered,WhatsApp,Blinkit Store #2
472,CUST0472,2025-05-22 17:37:42,Zone-B,Beverages,Skin,SKU00472,14,587.94,8231.16,22.16,0.24,COD,17,25,Delivered,WhatsApp,Blinkit Store #2
473,CUST0473,2025-05-11 10:00:13,Zone-A,Groceries,Certain,SKU00473,11,673.29,7406.19,19.96,0.04,COD,27,33,Cancelled,WhatsApp,Blinkit Store #3
474,CUST0474,2025-05-31 15:15:57,Zone-D,Baby Care,Possible,SKU00474,9,390.7,3516.3,23.7,0.04,Credit Card,13,8,Delivered,App,Blinkit Store #2
475,CUST0475,2025-06-27 11:41:26,Zone-B,Snacks,Tree,SKU00475,12,102.67,1232.04,10.36,0.15,COD,17,35,Cancelled,Web,Blinkit Store #3
476,CUST0476,2025-05-14 05:55:32,Zone-A,Dairy,Instead,SKU00476,11,676.68,7443.48,0.66,0.17,Debit Card,14,13,Delivered,Web,Blinkit Store #4
477,CUST0477,2025-01-24 16:26:21,Zone-D,Dairy,Yes,SKU00477,2,681.21,1362.42,30.73,0.1,Blinkit Wallet,26,42,Delayed,App,Blinkit Store #6
478,CUST0478,2025-03-16 04:48:52,Zone-A,Pet Supplies,Floor,SKU00478,11,790.43,8694.73,15.31,0.19,Net Banking,17,37,Delayed,Web,Blinkit Store #2
479,CUST0479,2025-05-05 07:52:21,Zone-C,Pet Supplies,Care,SKU00479,9,50.89,458.01,44.09,0.12,Blinkit Wallet,21,28,Delivered,Web,Blinkit Store #2
480,CUST0480,2025-02-07 21:45:22,Zone-A,Dairy,Really,SKU00480,10,740.13,7401.3,30.24,0.18,Debit Card,28,38,Cancelled,WhatsApp,Blinkit Store #2
481,CUST0481,2025-04-24 08:27:49,Zone-C,Baby Care,Item,SKU00481,12,251.42,3017.04,39.04,0.06,Net Banking,18,20,Delivered,WhatsApp,Blinkit Store #2
